,Influencer,Radio,SocialMedia,TV,Sales
0,Mega,6.566230788,2.907982773,16.0,54.73275715
1,Mega,9.237764567,2.409567204,13.0,46.67789698
2,Mega,15.88644602,2.913410175,41.0,150.1778288
3,Mega,30.02002826,6.922303959,83.0,298.2463398
4,Micro,8.437407682,1.40599815,15.0,56.5941808
5,Mega,9.614382036,1.02716349,29.0,105.8891476
6,Micro,24.89381148,4.273602146,55.0,198.6798248
7,Nano,17.35504181,2.289854925,31.0,108.7339319
8,Macro,24.64889821,7.130115956,76.0,270.1894
9,Mega,0.431127823,2.229423022,13.0,48.28058223
10,Nano,24.34518879,5.151483172,62.0,224.9610192
11,Mega,15.8073374,3.194924641,42.0,145.5439916
12,Micro,20.24042393,3.921147972,64.0,229.6323807
14,Nano,0.226326491,2.372705624,34.0,121.3364193
15,Nano,3.90019598,0.060401795,36.0,123.5261126
16,Mega,22.35372075,0.940801841,60.0,212.7643968
17,Micro,9.905842649,1.853224897,25.0,89.8199226
18,Macro,36.11609149,3.67429598,100.0,353.8046387
19,Nano,40.73698967,4.636563904,92.0,329.3505396
20,Macro,12.69509229,3.88458384,46.0,162.1913335
21,Macro,35.56822382,2.832450089,78.0,276.4013399
22,Micro,2.828972458,4.556701242,37.0,128.4846619
23,Nano,37.26381865,6.88653481,99.0,349.8615752
24,Micro,20.34898797,1.227180495,75.0,272.2501078
25,Nano,27.807614,4.060781965,54.0,192.4619083
27,Micro,7.280088955,2.179478014,27.0,96.74937343
28,Mega,9.282685174,3.055758381,21.0,76.99292807
29,Nano,13.05041081,1.971184795,40.0,139.2887894
30,Mega,24.13761593,5.573093351,67.0,234.8510253
31,Micro,29.02101661,6.431995293,90.0,323.0321827
32,Nano,3.567660711,3.558311365,12.0,40.79219533
33,Micro,27.33577511,5.263650376,81.0,290.7775735
34,Mega,16.34871104,2.814013458,43.0,150.6264947
35,Mega,17.37652562,1.905040273,47.0,161.7851523
36,Nano,18.23019243,4.079293023,43.0,155.5991953
37,Mega,23.62623841,6.199769157,75.0,263.0206872
38,Macro,23.51057067,2.188926056,79.0,281.5789422
39,Macro,24.56354623,3.41966808,65.0,231.6700477
40,Macro,12.84212842,2.593697318,43.0,148.7069665
41,Macro,27.64758545,5.611221835,82.0,294.9524151
42,Micro,21.63920124,3.223647705,68.0,242.8248811
43,Mega,37.57095206,8.529604366,98.0,351.7730679
44,Macro,10.59953251,0.679275349,26.0,91.92229739
45,Macro,6.145248262,1.591116473,10.0,32.56682505
47,Micro,0.627618771,2.676075167,32.0,115.2625668
48,Macro,8.852094414,0.041494349,29.0,101.8731014
49,Mega,11.52414895,2.566791358,32.0,111.8997121
50,Macro,14.4341063,0.463277331,29.0,104.3526653
51,Mega,40.10852728,7.236170474,91.0,326.3817124
52,Nano,34.28141179,8.697487404,83.0,300.7305325
53,Mega,23.92269582,3.373809656,72.0,255.1551652
54,Micro,24.16913194,2.087910259,47.0,161.7170871
55,Micro,3.455868379,2.400118071,10.0,39.62567824
56,Macro,10.06762616,1.729667405,49.0,169.0081129
57,Mega,5.197856187,0.413965989,14.0,50.98848158
58,Macro,10.75005058,2.442173814,20.0,70.47172273
59,Nano,10.44745162,3.356106421,17.0,58.59009126
60,Mega,29.8927411,6.096743741,68.0,237.7721637
61,Macro,25.04555745,6.109369688,91.0,322.1004964
62,Mega,17.11323977,2.638642418,52.0,181.0796122
63,Nano,3.921540021,2.527850591,41.0,145.9192
64,Micro,11.65648785,0.358471532,65.0,228.5646491
65,Mega,31.60769079,3.952448108,82.0,288.9822393
66,Mega,18.64944183,4.529927084,14.0,49.81567405
67,Nano,31.26640836,8.080731556,84.0,299.099052
68,Mega,30.14056912,6.546158024,99.0,351.3598902
69,Mega,2.234293408,1.07771826,15.0,55.00971238
70,Micro,24.69852188,6.741382758,64.0,223.0991462
71,Macro,15.2477262,4.587703384,70.0,247.1394014
72,Nano,26.82235002,5.514187222,77.0,274.7071
73,Macro,20.39194685,3.212250256,81.0,289.1757587
74,Micro,17.79013454,4.117631989,46.0,168.0365387
76,Mega,25.27608704,3.239265214,56.0,198.3215216
77,Mega,33.05515873,6.063457718,98.0,349.7452965
78,Mega,18.2339617,0.827545346,47.0,166.1372196
79,Nano,8.808702773,2.414186295,18.0,59.28931563
80,Mega,22.9553127,2.642504816,77.0,272.6321364
81,Mega,6.041725794,2.136632357,22.0,77.41731834
82,Nano,37.7178052,3.590086383,99.0,349.4239745
83,Mega,9.096779889,3.81883449,36.0,127.0926738
84,Mega,1.648197979,1.30572513,12.0,43.06509252
86,Nano,39.23230636,3.698661076,97.0,345.3131637
87,Macro,16.91203429,4.034660177,44.0,154.2065565
88,Mega,31.52189727,6.398283645,86.0,304.7437748
89,Micro,33.05945096,5.78929841,93.0,335.2090696
90,Macro,10.64510759,1.915517115,30.0,104.1809671
91,Mega,0.758066665,2.359200238,32.0,112.269694
92,Mega,2.172596338,4.208324504,29.0,103.6348659
93,Micro,25.40659637,3.215455403,72.0,262.4011715
94,Micro,8.001265854,4.18783431,14.0,51.44298395
95,Micro,38.41522497,7.673636553,95.0,336.7606331
96,Nano,3.934783488,0.328469804,20.0,72.62590273
97,Nano,24.35904434,3.797367287,49.0,174.1981389
98,Macro,11.21368878,0.55883658,29.0,98.99963768
100,Macro,13.18725635,2.766352269,39.0,140.4152859
101,Nano,33.70789822,3.327272719,87.0,309.3616681
102,Mega,9.437711713,4.377587812,38.0,133.5654887
103,Macro,9.726736048,0.337998227,43.0,152.2546677
104,Macro,8.421994731,3.279480595,30.0,112.3081088
105,Mega,19.95638677,2.261406312,93.0,333.5791129
