,Sales,Radio,SocialMedia,TV
0,54.73275715,6.566230788,2.907982773,16.0
1,46.67789698,9.237764567,2.409567204,13.0
2,150.1778288,15.88644602,2.913410175,41.0
3,298.2463398,30.02002826,6.922303959,83.0
4,56.5941808,8.437407682,1.40599815,15.0
5,105.8891476,9.614382036,1.02716349,29.0
6,198.6798248,24.89381148,4.273602146,55.0
7,108.7339319,17.35504181,2.289854925,31.0
8,270.1894,24.64889821,7.130115956,76.0
9,48.28058223,0.431127823,2.229423022,13.0
10,224.9610192,24.34518879,5.151483172,62.0
11,145.5439916,15.8073374,3.194924641,42.0
12,229.6323807,20.24042393,3.921147972,64.0
14,121.3364193,0.226326491,2.372705624,34.0
15,123.5261126,3.90019598,0.060401795,36.0
16,212.7643968,22.35372075,0.940801841,60.0
17,89.8199226,9.905842649,1.853224897,25.0
18,353.8046387,36.11609149,3.67429598,100.0
19,329.3505396,40.73698967,4.636563904,92.0
20,162.1913335,12.69509229,3.88458384,46.0
21,276.4013399,35.56822382,2.832450089,78.0
22,128.4846619,2.828972458,4.556701242,37.0
23,349.8615752,37.26381865,6.88653481,99.0
24,272.2501078,20.34898797,1.227180495,75.0
25,192.4619083,27.807614,4.060781965,54.0
27,96.74937343,7.280088955,2.179478014,27.0
28,76.99292807,9.282685174,3.055758381,21.0
29,139.2887894,13.05041081,1.971184795,40.0
30,234.8510253,24.13761593,5.573093351,67.0
31,323.0321827,29.02101661,6.431995293,90.0
32,40.79219533,3.567660711,3.558311365,12.0
33,290.7775735,27.33577511,5.263650376,81.0
34,150.6264947,16.34871104,2.814013458,43.0
35,161.7851523,17.37652562,1.905040273,47.0
36,155.5991953,18.23019243,4.079293023,43.0
37,263.0206872,23.62623841,6.199769157,75.0
38,281.5789422,23.51057067,2.188926056,79.0
39,231.6700477,24.56354623,3.41966808,65.0
40,148.7069665,12.84212842,2.593697318,43.0
41,294.9524151,27.64758545,5.611221835,82.0
42,242.8248811,21.63920124,3.223647705,68.0
43,351.7730679,37.57095206,8.529604366,98.0
44,91.92229739,10.59953251,0.679275349,26.0
45,32.56682505,6.145248262,1.591116473,10.0
47,115.2625668,0.627618771,2.676075167,32.0
48,101.8731014,8.852094414,0.041494349,29.0
49,111.8997121,11.52414895,2.566791358,32.0
50,104.3526653,14.4341063,0.463277331,29.0
51,326.3817124,40.10852728,7.236170474,91.0
52,300.7305325,34.28141179,8.697487404,83.0
53,255.1551652,23.92269582,3.373809656,72.0
54,161.7170871,24.16913194,2.087910259,47.0
55,39.62567824,3.455868379,2.400118071,10.0
56,169.0081129,10.06762616,1.729667405,49.0
57,50.98848158,5.197856187,0.413965989,14.0
58,70.47172273,10.75005058,2.442173814,20.0
59,58.59009126,10.44745162,3.356106421,17.0
60,237.7721637,29.8927411,6.096743741,68.0
61,322.1004964,25.04555745,6.109369688,91.0
62,181.0796122,17.11323977,2.638642418,52.0
63,145.9192,3.921540021,2.527850591,41.0
64,228.5646491,11.65648785,0.358471532,65.0
65,288.9822393,31.60769079,3.952448108,82.0
66,49.81567405,18.64944183,4.529927084,14.0
67,299.099052,31.26640836,8.080731556,84.0
68,351.3598902,30.14056912,6.546158024,99.0
69,55.00971238,2.234293408,1.07771826,15.0
70,223.0991462,24.69852188,6.741382758,64.0
71,247.1394014,15.2477262,4.587703384,70.0
72,274.7071,26.82235002,5.514187222,77.0
73,289.1757587,20.39194685,3.212250256,81.0
74,168.0365387,17.79013454,4.117631989,46.0
76,198.3215216,25.27608704,3.239265214,56.0
77,349.7452965,33.05515873,6.063457718,98.0
78,166.1372196,18.2339617,0.827545346,47.0
79,59.28931563,8.808702773,2.414186295,18.0
80,272.6321364,22.9553127,2.642504816,77.0
81,77.41731834,6.041725794,2.136632357,22.0
82,349.4239745,37.7178052,3.590086383,99.0
83,127.0926738,9.096779889,3.81883449,36.0
84,43.06509252,1.648197979,1.30572513,12.0
86,345.3131637,39.23230636,3.698661076,97.0
87,154.2065565,16.91203429,4.034660177,44.0
88,304.7437748,31.52189727,6.398283645,86.0
89,335.2090696,33.05945096,5.78929841,93.0
90,104.1809671,10.64510759,1.915517115,30.0
91,112.269694,0.758066665,2.359200238,32.0
92,103.6348659,2.172596338,4.208324504,29.0
93,262.4011715,25.40659637,3.215455403,72.0
94,51.44298395,8.001265854,4.18783431,14.0
95,336.7606331,38.41522497,7.673636553,95.0
96,72.62590273,3.934783488,0.328469804,20.0
97,174.1981389,24.35904434,3.797367287,49.0
98,98.99963768,11.21368878,0.55883658,29.0
100,140.4152859,13.18725635,2.766352269,39.0
101,309.3616681,33.70789822,3.327272719,87.0
102,133.5654887,9.437711713,4.377587812,38.0
103,152.2546677,9.726736048,0.337998227,43.0
104,112.3081088,8.421994731,3.279480595,30.0
105,333.5791129,19.95638677,2.261406312,93.0
106,307.6190894,25.26070742,6.765663894,86.0
107,225.4862319,26.03598627,3.290816886,63.0
108,333.9664321,28.03820883,2.924281836,93.0
109,334.6459156,32.14620508,4.61092529,94.0
110,222.4683071,21.84654391,2.64241023,63.0
111,105.1853123,17.46901907,4.337634178,30.0
112,62.31766345,7.291955516,2.317959067,18.0
