full_text,class
"Soal pertemuan Ganjar dan Airlangga, tertutup. Seperti pertemuan yang tak penting. Magnet Ganjar dalam pertemuan-pertemuan seperti itu kalah jauh ketimbang Puan, apalagi Megawati. Bukan levelnya. Justru mulai beredar Airlangga akan di-Munaslub-kan. Penggantinya LBP pula.",2
"Meski sepi dari pemberitaan, sebetulnya Ganjar dan Airlangga Hartarto juga bertemu. Ada apa? Tapi, agaknya publik (media) lebih tertarik atas pemanggilan Airlangga di Kejagung. Airlangga tak hadir dan akan dipanggil lagi Senin depan. Berarti, masih jeda. Bakal ramai pekan depan.",0
@Gus_Raharjo @ganjarpranowo Kok hebat kali dia  seudelnya ganti Ganjar? Sekalian aja coblos Yohanis Yamani biar Jokodok tau rasa ...,2
"@FadlyNajib @geloraco Bisa jadi, ganjar wapres",0
1 Muharam bersama GANJAR https://t.co/NzIDJZ0AkV,1
@lek_brewok @Tan_Mar3M @Puspen_TNI Ada banyak foto ganjar nempel di tempat pendidikan dll tapi gk kalian protes juga...,2
@ganjarpranowo Bsa kirim p ganjar di kandang anies &amp  wowo,0
"Jika dulu kita satu komando untuk pak Jokowi, kini kita satu komando untuk pak Ganjar.. Tetap memberikan data dan fakta, menyebarkan cinta keseluruh penjuru negeri, seperti yang pak Jokowi ajarkan. 🙏🙏. Relawan itu adalah kita. https://t.co/0UwOqM4GEA",1
Selamat Pagi tuips...kira - kira pagi ini Ganjar sudahkah mandi Junub ?  https://t.co/az98Uk1jjA,2
@KompasTV Coba deklarasi ganjar dulu pak mungkin bulan depan surat pemeriksaannya diilangin sama umbi umbi kejaksaan,2
"@Leonita_Lestari akankah ada nantinya titik pertemuan capres cawapres Ganjar - Prabowo ? semoga saja, negara ini sudah capek bertikai antar penerus bangsa",0
@lhayesno @yunartowijaya @budimandjatmiko Harus p.ganjar calon RI 1,1
"Aplikasi Jalan Cantik yang Diluncurkan Ganjar Dipuji Warga: Cepat Responsnya  Kehadiran aplikasi tsb memberikan kemudahan kepada masyarakat untuk membuat laporan, terutama jika dibandingkan dngn sebelumnya ketika masyarakat kerap kesulitan melapor.  Keysia Dingin Bali Tidur Binus https://t.co/7AFpEROprY",1
"Mantan Panglima TNI Andika Perkasa Siap Jadi Cawapres Ganjar, PPP Buka Suara https://t.co/iVJOUl1sff",1
"@supian_ator @Dennysiregar7 @budimandjatmiko Kenapa lari ke Ganjar,bukankah judul di atas itu tentang Budiman dan Prabowo,ini penyakit hati yg akut, nebar hoax lagi.",2
"@democrazymedia Jagoan lu dulu, Jokowi, sampai sekarang ngga bisa realisasi tuh janji dia mau bangun stadion persija. Sekarang lu ngibul lagi kl ganjar mo bikin stadion besar. Ngibul lu yg besar Hasto @PDI_Perjuangan",2
"@Dennysiregar7 Sudah lah emang si ganjar itu bakal di tinggal gerbong relawan, gagasan gak ada, prestasi g ada, kemampyan utk diplomasi ke dunia internasional g ada, bakal calon boneka megatron krn ada perjanjian batu tulis mega ganjr kata si ade armando makin dikuatkan oleh si budiman skrg.",1
"@SWEETAL154 ...ntar kalo Ganjar kepilih, keknya nasibnya kek pakdhe Jokowi.... nenek elo kekunci dikamar mandi... nyalahin pak Ganjar",0
"@ganjarpranowo Jalan di kampung saya kel.cilibur kec.paguyangan, kab.brebes pak sangat tidak layak pakai pak, sudah puluhan tahun rusak, sekalinya dibenerin paling bertahan sebulan dua bulan itu pun karna swadaya masyarakat. Tolong pak ganjar minta perhatian khususnya tolong🙏🏻🙏🏻",2
"@ferrykoto @budimandjatmiko Cara berpolitik Budiman memang jauh ke depan, sementara sebagian besar masih jalan di tempat. Kemunculan Ganjar, kalau dicermati adalah hasil dari beberapa lembaga survei yg mengorbitkannya dari gubernur biasa saja sehingga Megawati TERPAKSA mencapreskannya. Entah siapa bohirnya",1
"Gak usah saling hina,klaim,semua manusia sama, ingin bahagia,membuat orang lain bahagia itu manusia yg terbaik.utk urusan negara serahkan ahlinya yg sdh nyata. GANJAR PRANOWO yg terbaik saat ini, terbukti dgn data dan fakta, yg lain belum saatnya..",0
"Ada fakta menarik di balik sosok Pak Ganjar yg sering mengenakan baju garis hitam putih.   Ternyata baju itu yang mendesain Presiden @jokowi , dan kini menjadi trend di kalangan relawan Ganjar. @ganjarpranowo https://t.co/On4VA1mOXd",0
Pesan Ganjar Pranowo ke Jurkam: Sampaikan Data yang Jujur dan Jangan Politik Identitas  Bacapres Ganjar Pranowo meminta seluruh jurkam agar bersikap jujur dan tidak menggunakan politik identitas dalam menyampaikan pesan-pesan kepada rakyat.  ___ Keysia Dingin Bali Tidur Binus https://t.co/tw2QYRL4S7,1
Ganjar Pranowo tidak akan menggunakan politik uang dan politik identitas dalam menarik simpati masyarakat  Dengan elektabilitas Pak Ganjar yang tinggi tentunya seluruh masyarakat Indonesia sudah tahu dengan kinerja Gubernur Jateng tersebut.  Keysia Dingin Bali Tidur Binus https://t.co/JNYBOV2Xo4,1
"@putrisakera Ganjar Orangnya Jokowi ( asli Indonesia ) Prabowo orangnya Jokowi ( asli Indonesia )  Anies ? ( Asli orang Arab ) faktanya bgitu kan?  Sorry ya, Putra - Putri Pribumi Nusantara masih banyak yg bisa dan siap jadi pemimpin kami. Rakyat Indonesia tdk ingin hancur seperti Yaman..",2
"Tahun 2024 PDIP diambang kehancuran, terutama setelah mencapreskan Ganjar yang penuh masalah dan zero prestasi. Lengkap sudah jalan menuju kehancuran  Sudah saatnya PDIP tenggelam  https://t.co/GKb1uz7TF5",1
"siaga KPU curang,  https://t.co/iIIVCYDW38  Erick Thohir Paling Diterima Masyarakat Jadi Cawapres Ganjar Pranowo , lebih banyak detail : https://t.co/TVp5Sj1R4H",2
@Dennysiregar7 Baliho GANJAR dah digulung.... Baliho SI BAPAK jg dah digulung....  Mmg relawan2 dri pihak 2 capres itu butuh edukasi lbh banyak.,2
"@Uki23 BPJS disorot Jokowi dipuja Ganjar di dukung  Demi perolehan suara, yg sungsang pun dilakukan bwakakak",2
"@Hasbil_Lbs @ganjarpranowo Perintah rakyat bisa diabaikan, perintah Ketum PDIP siap laksanakan lalu siapa sesungguhnya tuan dari Ganjar ? 🤣🤣🤣",1
@mbahsurip_sanse @CNNIndonesia Pendukung Ganjar Pranowo 👍😁. https://t.co/5NZVJA8C4S,2
"Para Purnawirawan TNI - POLRI serta Keluarga Besarnya di Jawa Tengah. Dukung Anies Baswedan pada Pilpres 2024.  Suara Ganjar sudah mulai tergerus di JATENG"" https://t.co/zachcdPYeV""",2
"Gue enek si Ama Ganjar,PDI dan segala antek² nya. Tapi klo kaya gini sih maksain banget lucu",2
@e100ss @Unair_Official  Really? Persamaan dengan Jendral Sudirman? Jendral Sudirman orang saleh. Enggak kepikiran nonton bokep kayak Ganjar. MALU2IN cara jilatnya.,2
Bawaslu nya pro ganjar.. Tolol,2
@geloraco Ngak mungkinlah Ganjar susah bikin seragam Hitam Putih garis-garis masak di batalkan..,2
@PresidenKopi Ganjar batal y?,1
"@DokterTifa Pak Ganjar Pranowo Presiden RI ke 8 makin mulus jalannya, hanya orang pesong/gila yg berkeberatan dgn ramalan2 bodoh tolol dan gobloknya MERDEKA👍🤟🙏🇮🇩.",0
