kataAlay,kataBaik
rpp,rencanapelaksanaanpembelajaran
pjj,pembelajaranjarakjauh
jan,jangan
emg,memang
y,ya
lu,kamu
gue,aku
gua,aku
bkn,bukan
mksudny,maksudnya
gk,gak
gni,begini
klihatan,kelihatan
trus,terus
beraaa,berasa
bgt,banget
tpi,tapi
onlen,online
yoi,ya
yooii,ya
betulll,betul
yutub,youtube
twitt,twitter
bisaa,bisa
dripada,daripada
utk,untuk
gegara,gara-gara
donlot,mengunduh
w,aku
dah,sudah
naek,naik
abis,habis
otw,menuju
tp,tapi
bsk,besok
lg,lagi
rakan2,rekan-rekan
mengharungi,mengarungi
fizikal,fisik
mangstap,mantap
bat,banget
bet,benar
mangat,semangat
yg,yang
sadgurl,perempuan
smbil,sambil
barbar,biadab
ajigggg,anjing
apaan,apa
mlooo,mulu
grgr,gara-gara
smt,semester
ttp,tetap
yok,yuk
beritane,beritanya
nurut2,nurut-nurut
wa,whatsapp
mapel,matapelajaran
ni,ini
kek,kayak
bosen,bosan
capek,cape
bego,bodoh
kagak,tidak
kesel,kesal
bang,mas
ak,aku
sma,sama
tbtb,tiba-tiba
wasaf,wassap
anjir,
ngak,nggak
pen,pengen
offline,oflen
dasar2nya,dasar-dasarnya
walhasil,hasilnya
semuga,semoga
terus2an,terus-terusan
gaes,guys
cm,cuma
babay,selamattinggal
ntah,entah
diruma,dirumah
gtau,tidaktahu
anjai,anjing
g,tidak
ad,ada
samsek,samasekali
ppt,slidepresentasi
gada,tidakada
quiz,kuis
syalan,sialan
puyeng,pusing
receh,tidakmenarik
krn,karena
bget,banget
quota,kouta
elearning,pembelajaranjarakjauh
mtk,matematika
ansos,antisosial
yutup,youtube
masalh,masalah
game,permainan
sy,saya
sprt,seperti
ketrbtsn,keterbatasan
kyk,kayak
kayak,seperti
tjukup,cukup
bs,bisa
stay,tinggal
cri,cari
ttng,tentang
ajg,anjing
sekolah2,sekolahsekolah
aing,saya
sama2,sama-sama
kea,seperti
ato,atau
demen,suka
f2f,tatapmuka
lgsng,langsung
ngirim,mengirim
smpe,sampai
typo,salahpenulisan
krna,karena
cma,cuma
tak,tidak
met,selamat
miskom,salahkomunikasi
mager,malas
aq,aku
pgn,pengen
mumet,pusing
@,di
adlh,adalah
afaik,asfarasiknow
ahaha,haha
aj,saja
ajep-ajep,duniagemerlap
akika,aku
akkoh,aku
akuwh,aku
alay,norak
alow,halo
ambilin,ambilkan
ancur,hancur
anjrit,anjing
anter,antar
ap2,apa-apa
apasih,apasih
apes,sial
aps,apa
aquwh,aku
asbun,asalbunyi
aseekk,asyik
asekk,asyik
asem,asam
aspal,aslitetapipalsu
astul,asaltulis
auah,tidakmautahu
awak,saya
ay,sayang
ayank,sayang
b4,sebelum
bakalan,akan
bandes,bantuandesa
bangedh,banget
banpol,bantuanpolisi
banpur,bantuantempur
basbang,basi
bcanda,bercanda
bdg,bandung
begajulan,nakal
beliin,belikan
bencong,banci
bentar,sebentar
ber3,bertiga
beresin,membereskan
bete,bosan
beud,banget
bg,abang
bgmn,bagaimana
bijimane,bagaimana
bintal,bimbinganmental
bkl,akan
bknnya,bukannya
blegug,bodoh
blh,boleh
bln,bulan
blum,belum
bnci,benci
bnran,yangbenar
bodor,lucu
bokap,ayah
boker,buangairbesar
bokis,bohong
boljug,bolehjuga
bonek,bocahnekat
boyeh,boleh
br,baru
brg,bareng
bro,saudaralaki-laki
bru,baru
bsen,bosan
bt,buat
btw,ngomong-ngomong
buaya,tidaksetia
