Title,Text1,Penulis1,Penulis2,Abstrak,KataKunci,Klasifikasi,Jenis,Subjek,Tahun,Penerbit
ANALISIS PERANCANGAN ARSITEKTUR FACE RECOGNITION UNTUK PRESENSI KARYAWAN HANIF MUFLIHUL ANWAR,HANIF MUFLIHUL ANWAR,HANIF MUFLIHUL ANWAR,Tien Fabrianti Kusumasari,,,006.3 - Special Computer Methods- Artificial intelligence,Karya Ilmiah - Skripsi (S1) - Reference,Artificial Intelligence,2023,"Universitas Telkom, S1 Sistem Informasi"
Analisis Strategi Pemulihan Citra Persaudaraan Setia Hati Terate ranting Selogiri GHOZI FAUZAN,GHOZI FAUZAN,GHOZI FAUZAN,Dedi Kurnia Syah Putra,,,"070.442 - Interpretation and opinion; newspaper editorials, radio comment",Karya Ilmiah - Skripsi (S1) - Reference,"Interpretasi Citra, Interpretation,",2023,"Universitas Telkom, S1 Digital Public Relations"
Analisis Strategi Public Relations Omah Record Dalam Melakukan Publikasi Musik Indie ELGA ZULTIAN,ELGA ZULTIAN,ELGA ZULTIAN,Razie Razak,"<p>Industri musik di era digital ini mengalami perubahan semenjak masifnya pengguna layanan <em>streaming </em>online. Penelitian ini membahas mengenai bagaimana Omah Record mempublikasikan musik indie di era digital dengan menjalankan program dan konsep dari strategi hubungan masyarkat. Penelitian ini bertujuan untuk mengetahui bagaimana implementasi strategi hubungan masyarakat di industri musik khususnya label musik indie Omah Record. Peneliti menggunakan metode kualitatif dengan pendekatan studi kasus menurut Ibrahim menggunakan metode kualitatif dilakukan dengan kondisi nyata sesuai yang ada di lapangan dengan terus menggali informasi untuk menemukan jawaban atas suatu permasalahan. Melalui metode ini data yang diperoleh berupa kata-kata dan lisan yang ditulis oleh peneliti. 4 Model Komunikasi serta Teori Strategi Public Relations peneliti gunakan sebagai dasar peneliti untuk melakukan penelitian ini, selain itu peneliti juga mencantumkan teori difusi inovasi sebagai dasar dari penelitian ini. Temuan yang didapat dari hasil penelitian ini serta wawancara, terdapat rangkaian strategi hubungan masyarakat yang merupakan konsep dari Cutlip, Center dan Broom (1982) yaitu <em>Defining the Problem, Planning and Programming, Taking Action and Communicating</em> dan yang terakhir adalah <em>Evaluating the Program.</em> Omah Record menjalankan rangkaian kegiatan ini mulai dari membaca tren di masyarakat untuk mendapatkan peluang, merencanakan dan memilih media yang digunakan untuk implementasi strategi, eksekusi strategi di media digital serta melakukan rilis musik di cafe, sampai melakukan evaluasi yang didapatkan dari <em>feedback</em> pendengar dari setiap rangkaian kegiatan publikasi perilisan musik yang dilakukan.</p>",,659.2 - Public relations,Karya Ilmiah - Skripsi (S1) - Reference,"Public Relations-strategy, Public Relations,",2023,"Universitas Telkom, S1 Digital Public Relations"
BUSINESS BLUEPRINT DESIGN OF OPEN-SOURCE CUSTOMER RELATIONSHIP MANAGEMENT AT TELKOM UNIVERSITY TRACER STUDY NAZARA AGUSTA VETA PUTRA,NAZARA AGUSTA VETA PUTRA,NAZARA AGUSTA VETA PUTRA,R. Wahjoe Witjaksono,,,"650.028 5 - Data processing, Computer applications in business",Karya Ilmiah - Skripsi (S1) - Reference,Computer Application For Business,2023,"Universitas Telkom, S1 Sistem Informasi (International Class)"
DETEKSI PELAT NOMOR KENDARAAN MENGGUNAKAN YOLOv5 PADA SISTEM AUTOMATIC NUMBER PLATE RECOGNITION (STUDI KASUS: PT AMANIN) TIARA RAHMANIA HADININGRUM,TIARA RAHMANIA HADININGRUM,TIARA RAHMANIA HADININGRUM,Ahmad Musnansyah,<p> </p>,Tersedia 1 dari total 1 Koleksi,006.31 - Machine Learning,Karya Ilmiah - Skripsi (S1) - Reference,"Deep Learning, Machine Learning,",2023,"Universitas Telkom, S1 Sistem Informasi"
Deteksi Penggunaan Masker Pada Citra Menggunakan  RetinaFace dengan MobileNetV2 GHILMAN MUHAMMAD ZAKI,GHILMAN MUHAMMAD ZAKI,GHILMAN MUHAMMAD ZAKI,Febryanti Sthevanie,,,006.37 - Computer Vision,Karya Ilmiah - Skripsi (S1) - Reference,"Computer Vision, Image Proceesing,",2023,"Universitas Telkom, S1 Informatika"
Deteksi Penggunaan Masker Pada Citra Menggunakan YOLOv5 Dengan CNN MAULANA NUR,MAULANA NUR,MAULANA NUR,Febryanti Sthevanie,,,006.37 - Computer Vision,Karya Ilmiah - Skripsi (S1) - Reference,"Computer Vision, Image Proceesing,",2023,"Universitas Telkom, S1 Informatika"
Expansi Query Menggunakan Word2Vec pada Pencarian Artikel Ilmiah BAYU TRESNA ARIESTA,BAYU TRESNA ARIESTA,BAYU TRESNA ARIESTA,Ade Romadhony,,,006.312 - Data mining,Karya Ilmiah - Skripsi (S1) - Reference,"Data Mining, Text Mining,",2023,"Universitas Telkom, S1 Informatika"
Implementasi Ant Colony Optimization untuk Routing pada Optimasi Perutean in Network Processing dalam Sistem Monitoring Kesehatan Struktur Jembatan M. FIRMANSYAH ARROZI,M. FIRMANSYAH ARROZI,M. FIRMANSYAH ARROZI,Setyorini,"<p>Kata kunci: optimasi perutean,wirelesssensor network, ant colony optimization,metaheuristik, structural health monitoring system</p>",,"004.6 - Data communications, computer communications",Karya Ilmiah - Skripsi (S1) - Reference,"Network Management, Routing,",2023,"Universitas Telkom, S1 Informatika"
Implementasi Metode Naïve Bayes Classifier Terhadap Analisis Sentimen Tempat Wisata di Nusa Tenggara Barat EDGARSA BRAMANDYO WIDYARTO,EDGARSA BRAMANDYO WIDYARTO,EDGARSA BRAMANDYO WIDYARTO,Jondri,,,000 - General Works,Karya Ilmiah - Skripsi (S1) - Reference,System Analysis-data Processing,2023,"Universitas Telkom, S1 Informatika"
INTERNET MEME AS A NEW GLOBAL LANGUAGE IN DIGITAL ERA (Content Analysis on NABILA DYAHTASYA RAHMAWATI,NABILA DYAHTASYA RAHMAWATI,NABILA DYAHTASYA RAHMAWATI,Adi Bayu Mahadian,"<p><strong>Keywords:</strong> internet meme, content, meme structure, global language<br /> <strong>Category:</strong> Digital Culture & Meme Studies, Social Media</p>",,006.701 4 - Content Analysis,Karya Ilmiah - Skripsi (S1) - Reference,"Content Analysis, Internet,",2023,"Universitas Telkom, S1 Ilmu Komunikasi"
Kajian Konten Online Shop Autodidact Melalui Instagram ARIF FARHAN LUBIS,ARIF FARHAN LUBIS,ARIF FARHAN LUBIS,Aditya Ali,,,006.701 4 - Content Analysis,Karya Ilmiah - Skripsi (S1) - Reference,"Content Analysis, Content Creator,",2023,"Universitas Telkom, S1 Digital Public Relations"
Klasifikasi Ayat Al-Quran Terjemahan Bahasa Inggris Menggunakan Metode  Convolutional Long Short Term Memory dan Bidirectional Long Short Term Memory RAFISA ARIF IRFAN,RAFISA ARIF IRFAN,RAFISA ARIF IRFAN,Kemas Muslim Lhaksmana,,,005.7 - Data in Computer Systems,Karya Ilmiah - Skripsi (S1) - Reference,Data Science,2023,"Universitas Telkom, S1 Informatika"
Komunikasi Orangtua pada Anak Remaja Melalui Pembatasan Penggunaan Media Sosial Instagram di Bogor JIHAN NABILLA,JIHAN NABILLA,JIHAN NABILLA,Lucy Pujasari Supratman,<p> </p>,Tersedia 1 dari total 1 Koleksi,302.207 - communication in education,Karya Ilmiah - Skripsi (S1) - Reference,"Komunikasi, Media Of Communication,",2023,"Universitas Telkom, S1 Ilmu Komunikasi"
Optimasi Portofolio Saham IDX30 Menggunakan Metode MeanVariance dengan Shrinkage dan L1-Regularization REIHAN MUHAMAD AZIZ,REIHAN MUHAMAD AZIZ,REIHAN MUHAMAD AZIZ,Deni Saepudin,,,005.7 - Data in Computer Systems,Karya Ilmiah - Skripsi (S1) - Reference,Data Science,2023,"Universitas Telkom, S1 Informatika"
PATH PLANNING MENGGUNAKAN ALGORITMA BEE COLONY DALAM MENCARI RUTE PERKEBUNAN DENGAN MENGGUNAKAN DRONE PADA PERKEBUNAN KOPI DESA ALAM INDAH KABUPATEN BANDUNG FICO DAVIN ADRIYANSYAH,FICO DAVIN ADRIYANSYAH,FICO DAVIN ADRIYANSYAH,Deden Witarsyah,,,005.1 - Computer programming,Karya Ilmiah - Skripsi (S1) - Reference,Computer Applications,2023,"Universitas Telkom, S1 Sistem Informasi"
PEMANFAATAN KONFERENSI PERS SEBAGAI UPAYA BRANDING BAGI PROGRAM ACARA BARU PT. CAKRAWALA ANDALAS TELEVISI (ANTV) YAASMIIN AFIIFAH NUR,YAASMIIN AFIIFAH NUR,YAASMIIN AFIIFAH NUR,Martha Tri Lestari,<p> </p>,,659.2 - Public relations,Karya Ilmiah - Skripsi (S1) - Reference,"Komunikasi, Public Relations-strategy,",2023,"Universitas Telkom, S1 Digital Public Relations"
Pembangunan Knowledge Graph dan Sistem Rekomendasi Film dengan GP 2 RAYHAN ZANZABILA,RAYHAN ZANZABILA,RAYHAN ZANZABILA,Gia Septiana Wulandari,,,005.1 - Computer programming,Karya Ilmiah - Skripsi (S1) - Reference,Computers Programming,2023,"Universitas Telkom, S1 Informatika"
Pembangunan Recommender System Menggunakan Content Based Filtering pada Aplikasi Service Desk Studi Kasus Direktorat Pusat Teknologi Informasi Universitas Telkom ANNISA HUMAIRO,ANNISA HUMAIRO,ANNISA HUMAIRO,Anisa Herdiani,,,006.31 - Machine Learning,Karya Ilmiah - Skripsi (S1) - Reference,Machine Learning,2023,"Universitas Telkom, S1 Informatika"
Pendeteksi Masker pada Gambar Menggunakan Model Deep Learning Yolo-v2 dengan ResNet-50 MUHAMMAD RIZKI ATRIA SALIM,MUHAMMAD RIZKI ATRIA SALIM,MUHAMMAD RIZKI ATRIA SALIM,Febryanti Sthevanie,,,006.37 - Computer Vision,Karya Ilmiah - Skripsi (S1) - Reference,"Computer Vision, Deep Learning,",2023,"Universitas Telkom, S1 Informatika"
PENGARUH ELECTRONIC WORD OF MOUTH (EWOM) SOMETHINC DI MEDIA SOSIAL TIKTOK TERHADAP BRAND AWARENESS NUR AFINA FATHARANI,NUR AFINA FATHARANI,NUR AFINA FATHARANI,Sylvie Nurfebiaraning,<p> </p>,,"302.23 - Media of Communication, Mass Media",Karya Ilmiah - Skripsi (S1) - Reference,"Electronic Marketing, Media Of Communication,",2023,"Universitas Telkom, S1 Ilmu Komunikasi"
PENGARUH KAMPANYE UNICEF LOVE MYSELF TERHADAP KESEHATAN MENTAL PENGGEMAR BTS CORRY NUR AZZURA,CORRY NUR AZZURA,CORRY NUR AZZURA,Maylanny Christin,"<p style=""margin-left:28.55pt;"">Sampel dari penelitian adalah para penggemar BTS yang mengikuti kampanye UNICEF. Dilihat dari sampel yang ingin digunakan, bahwa jumlah populasi di studi ini tidak diketahui dengan pasti jumlahnya, maka perhitungan jumlah sampel memakai rumus <em>Cochran</em><em>, </em>dan sampel minimal yang akan digunakan ialah 385 orang.Teknik analisis data yang digunakan adalah teknik analisis deskriptif serta menggunakan metode uji T. </p>","<p style=""margin-left:1cm;""> </p>",658.382 - Health and safety programs,Karya Ilmiah - Skripsi (S1) - Reference,"Health Communication, Campaigns-communication,",2023,"Universitas Telkom, S1 Ilmu Komunikasi"
