Title,Field1,Penulis1,Penulis2,Abstrak,Klasifikasi,Jenis,Subjek,Tahun,Penerbit
PERANCANGAN MEKANISME KERJA QUICK RESPONSE PADA PROSES PENGENDALIAN BAHAYA KASUS HAZARD NON-HIRARC DI PT. PLN (PERSERO) ULTG BANDUNG SELATAN MELINDA SALEHA,MELINDA SALEHA,MELINDA SALEHA,"HERIYONO LALU, WIYONO","PT. PLN (Persero) ULTG Bandung Selatan adalah penyalur listrik terbesar di Kabupaten Bandung. Berdasarkan data kejadian bahaya yang terjadi di PT.PLN (Persero) ULTG Bandung Selatan pada periode Januari 2020-Juni 2021 terdapat 28 temuan kejadian bahaya non-HIRARC. Dari 28 temuan tersebut, 19 temuan termasuk jenis temuan safety (temuan bahaya terkait keselamatan personil) dan 9 temuan lainnya termasuk jenis instalasi ketenagalistrikan (temuan bahaya terkait instalasi listrik). Proses penanganan kontrol 28 temuan tersebut memiliki waktu proses yang berbeda-beda dan membutuhkan waktu yang lama. Waktu keputusan penanganan hazard serta penanganan kontrol seharusnya dapat ditangani secara cepat karena dari 28 temuan tersebut 5 diantaranya termasuk kategori nearmiss (hampir membuat personil celaka) dan 23 lainnya termasuk kategori unsafe condition (kondisi tidak aman yang menyebabkan kecelakaan kerja). Temuan yang termasuk kategori nearmiss adalah temuan jenis safety yaitu kegiatan bordes terbelah/ amblas/ hancur dan terdapat batu gravel yang kecil sehingga menyebabkan personil terperosok dan terjatuh, serta terdapat kegiatan helm keselamatan yang tidak menggunakan tali dagu yang menyebabkan helm  terjatuh saat proses operasi. Dengan melihat jenis temuan kategori tersebut, maka perlu menciptakan mekanisme kerja quick response dalam proses penanganan hazard non-HIRARC di ULTG Bandung Selatan agar permasalahan hazard tersebut dapat tertangani dengan cepat. Metode perancangan yang digunakan dalam tugas akhir ini adalah process design karena hasil perancangan penelitian tugas akhir ini adalah proses bisnis usulan yang menghapus dan  hanya mengganti sebagian proses bisnis eksisting serta terdapat aktivitas eksisting yang dipertahankan.
Hasil rancangan mekanisme kerja quick response terbagi menjadi dua perancangan yaitu, perancangan mekanisme penanganan hazard non-HIRARC dan hazard baru. Pada perancangan mekanisme penanganan hazard non-HIRARC usulan, terdapat otomatisasi pengambilan keputusan penanganan hazard non-HIRARC dan penerapan sistem pengelolaan material di ULTG Bandung Selatan. Perancangan otomatisasi pengambilan keputusan ini akan menggunakan Sistem Inspekta dengan  klasifikasi hazard yang dikelompokkan berdasar waktu lama penanganan hazard, eksisting kontrol yang diberikan serta tempat kejadian bahaya tersebut. Sistem pengelolaan material berisikan penambahan job description terkait Staff Gudang Material, penambahan aktivitas perhitungan material, serta perancangan tata letak gudang. Selanjutnya, pada perancangan mekanisme penanganan hazard baru, dilakukan penambahan proses pengambilan keputusan hazard baru menggunakan risk matrix. Penambahan aktivitas assesment hazard baru menggunakan risk matrix tersebut menjadi penambahan tugas dan tanggung jawab job description dari Kepala K3L. Setelah merancang mekanisme penanganan hazard non-HIRARC dan hazard baru, selanjutnya kedua perancangan tersebut disatukan menjadi satu proses bisnis usulan. Hasil perancangan tersebut selanjutnya dilakukan validasi yang berisi kesesuaian antara hasil perancangan usulan dengan pemilik masalah/ stakeholder yaitu Kepala K3L. 
Validasi dilakukan dengan pengisian form validasi oleh Kepala K3L. Dari hasil form tersebut, terlihat bahwa hasil perancangan sesuai dengan requirement perusahaan, mempercepat waktu respon dan memudahkan penanganan hazard non-HIRARC. Untuk mengetahui hasil rancangan layak diimplementasikan pada perusahaan atau tidak, dilakukan analisis feasibility menggunakan tiga indikator yaitu waktu proses, teknis dan operasi serta finansial. Analisis feasibility dilakukan dengan mengacu pada hasil validasi serta diskusi dengan Kepala K3L. Hasil feasibility pada hasil perancangan pada tugas akhir ini feasible atau layak untuk diimplementasikan pada perusahaan. 
Kata Kunci – Mekanisme Kerja Quick Response, Process Design, Otomatisasi Keputusan, Pengelolaan Material, Risk Matrix",658.501 - industri,Karya Ilmiah - Skripsi (S1) - Reference,Business Process,2022,"Universitas Telkom, S1 Teknik Industri"
"PERANCANGAN MODEL BISNIS APLIKASI KLINIK.COM
DENGAN METODE LEAN CANVAS SEBRIELLA AULIA SIREGAR",SEBRIELLA AULIA SIREGAR,SEBRIELLA AULIA SIREGAR,"FARDA HASUN, MARIA DELLAROSAWATI IDAWICAKSATI","Provinsi Kepulauan Riau merupakan sebuah provinsi yang terdiri dari lautan dan banyak pulau. Angka harapan hidup Provinsi Kepulauan Riau pada tahun 2020 adalah 69,96 tahun yang mana angka ini lebih rendah dibanding angka harapan hidup nasional yaitu 71,47 tahun. Hal ini disebabkan beberapa permasalahan yang berkaitan dengan layanan kesehatan yang belum maksimal pada beberapa kabupaten/kota di Provinsi Kepulauan Riau seperti terjadi antrean pada fasilitas kesehatan rujukan,  belum meratanya penyebaran tenaga kesehatan di seluruh kabupaten/kota,  akses transportasi untuk sistem rujukan kesehatan mahal dan memerlukan waktu yang lama, kurangnya tenaga kesehatan strategis di Puskesmas yang menyebabkan pelaksanaan upaya preventif kesehatan menurun, serta belum optimalnya penyediaan dan penyebaran obat. Dari permasalahan yang ada, salah satu solusi yang dapat mengatasi permasalahan yang ada adalah mengembangkan aplikasi kesehatan. Untuk mengembangkan aplikasi ini tentunya perlu dirancang model bisnisnya. Penelitian ini bertujuan merancang model bisnis untuk aplikasi Klinik.com dengan  menggunakan lean canvas. Dalam melakukan perancangan model bisnis aplikasi Klinik.com ini, data yang dikumpulkan adalah data primer yang diperoleh melalui observasi dan data sekunder yang berasal dari studi literatur. Dari hasil analisis data yang telah terkumpul dapat dirancang lean canvas untuk tahap awal. Selanjutnya dilakukan verifikasi logic dan identifikasi risiko bersama pembimbing. Setelah dilakukan verifikasi dilanjutkan dengan perancangan mockup, yang kemudian digunakan dalam proses validasi problem dan validasi solution, yang dilakukan dengan jalan wawancara. Dari hasil perancangan model bisnis aplikasi Klinik.com, problem yang dihadapi oleh customer segment yang dipilih adalah  sulitnya melakukan konsultasi dengan dokter spesialis. Customer segment yang dipilih adalah masyarakat kabupaten Provinsi Kepulauan Riau. UVP yang dirancang adalah cara tercepat dan termudah untuk berkonsultasi dengan dokter spesialis. Solution yang dirancang adalah pembangunan aplikasi yang memiliki fitur konsultasi online, yang dapat dilakukan dengan  bertukar informasi medis berupa gambar, citra (image), teks, bio sinyal, video dan/atau suara yang baik, dan bantuan pemeriksaan fisik oleh bidan/perawat di fasilitas kesehatan perujuk. Unfair advantage yang diidentifikasi adalah kesempatan bekerja sama dengan Dinas Kesehatan Provinsi Kepulauan Riau. Revenue streams berasal dari fee jasa konsultasi dengan dokter spesialis dan jasa iklan. Cost structure berasal dari biaya pembangunan aplikasi, biaya infrastruktur sistem, biaya SIUP, biaya marketing, biaya gaji, biaya maintenance, dan biaya pajak. Key metrics yang dipilih adalah jumlah pengguna aktif bulanan, jumlah install, jumlah transaksi premium, dan rata-rata durasi. Channels yang dipilih adalah media sosial, baliho, dan word of mouth marketing.",658.401 2 - STRATEGIC MANAGEMENT,Karya Ilmiah - Skripsi (S1) - Reference,"Business Strategy, Strategic  Management,",2022,"Universitas Telkom, S1 Teknik Industri"
PERANCANGAN MODEL PREDICTIVE CONTROL UNTUK SISTEM KENDALI PENGGERAK PHOTOVOLTAIC MUHAMMAD ATSILAH AL MUGHNI,MUHAMMAD ATSILAH AL MUGHNI,MUHAMMAD ATSILAH AL MUGHNI,"BASUKI RAHMAT, M. RIDHO ROSA","Pemanfaatan energi terbarukan di Indonesia belum maksimal dikarenakan sekitar 10 MWp saja yang dapat dimanfaatkan, padahal indonesia mempunyai potensi memperoleh energi sebesar 4,8 KWH/m2 atau setara dengan 112.000 GWp. Dengan melihat potensi tersebut, solusi yang ada yaitu memperbanyak PLTS (pembangkit listrik tenaga surya) dan memaksimalkan PLTS (pembangkit listrik tenaga surya) yang sudah ada, dengan cara merancang MPC (Model Predictive Control) sebagai metode untuk mengendalikan motor DC yang terhubungan dengan PV (Photovoltaic).
Sistem kendali Model Predictive Control (MPC) berfungsi mengendalikan panel Photovoltaic dengan actuator motor DC yang terhubung ke panel PV (photovoltaic). Dengan demikian panel PV (Photovoltaic) otomatis bergerak mengikuti posisi matahari. Lebih lanjut panel photovoltaic selalu mendapatkan cahaya matahari dengan sudut datang tegak lurus bidang permukaan photovoltaic, sehingga selalu diperoleh energi maksimal dari matahari.
Pada penelitian ini perancangan Metode MPC (Model Predictive Control) menggunakan MPC Designer MATLAB dan mensimulasikan sistemnya dengan Simulink MATLAB. Hasilnya Motor DC mampu menggerakkan panel PV (Photovoltaic) sesuai dengan referensi sudut posisi matahari yang diberikan.  Sedangkan karakteristik respon sistem, sudut posisi panel terhadap posisi mengalami overshoot sebesar 0,5%, berbeda dengan rise time bernilai 18,752 ks.",621.317 - Control devices-electrical engineering,Karya Ilmiah - Skripsi (S1) - Reference,"Control Systems, Motor Engineering,",2022,"Universitas Telkom, S1 Teknik Elektro"
"PERANCANGAN PENJEPIT PADA CYCLONE HAMMER MILL MACHINE MENGGUNAKAN METODE REVERSE
ENGINEERING ILHAM NARENDA PUTRA",ILHAM NARENDA PUTRA,ILHAM NARENDA PUTRA,"AGUS KUSNAYAT,","CV. XYZ merupakan perusahaan yang bergerak di bidang pengolahan bahan baku pakan ternak menjadi pakan ternak yang siap digunakan dan telah dikemas. Bahan baku utama yang digunakan pada perusahaan adalah kulit kopi. Bahan baku tersebut dicacah menggunakan mesin Hammermill sehingga menjadi butiran serbuk halus dan dikemas dalam sebuah karung berkapasitas 50kg untuk selanjutnya diperjual-belikan. Mesin Hammer Mill tersebut merupakan mesin yang dirancang dan dibuat untuk menggiling atau mencacah partikel material menjadi partikel yang berukuran lebih kecil. Partikel kecil hasil akhir proses pada mesin Hammer Mill tersebut keluar melalui part packaging. Pada tahapan proses kondisi nyata di perusahaan yang diteliti, muncul sebuah masalah yaitu loss good atau tidak tertampung secara benarnya hasil olahan. Dengan metode Reverse Engineering penelitian ini mengkaji desain eksisting perusahaan dan dibuat desain usulan yang lebih baik. Proses pemodelan 3D dan simulasi menggunakan software Autodesk Inventor 2019 dan EDEM 2020. Dari hasil optimasi tersebut didapat desain usulan dan juga parameter hasil simulasi berupa jumlah partikel dan massa yang dihasilkan yaitu 0,41 kg/dtk dan 230,9 partikel/dtk bila dengan penjepit dan 0,31 kg/dtk dan 395,2 partikel/dtk bila tanpa penjepit Cyclone packaging Hammer Mill yang dimana dengan adanya penjepit tersebut mampu meminimalisir loss good sebesar 26,3%",621.31 - Electrical Engineering,Karya Ilmiah - Skripsi (S1) - Reference,"Electrical Engineering, Machine Engineering,",2022,"Universitas Telkom, S1 Teknik Industri"
PERANCANGAN PERBAIKAN KUALITAS LAYANAN PADA BALI PURNAMA 99 TRAVEL BERDASARKAN ANALISIS KEBUTUHAN PELANGGAN MENGGUNAKAN INTEGRASI SERVICE QUALITY DAN MODEL KANO I GUSTI MADE ADITYA WIRATAMA,I GUSTI MADE ADITYA WIRATAMA,I GUSTI MADE ADITYA WIRATAMA,"AGUS ACHMAD SUHENDRA, HUSNI AMANI","Transportasi merupakan sarana penunjang yang dapat dimanfaatkan oleh manusia untuk melakukan kegiatan perpindahan orang dan barang dari satu tempat ke tempat lainnya dengan menggunakan sebuah kendaraan. Perubahan ketertarikan masyarakat dalam penggunaan kendaraan sebagai alat transportasi dapat menjadi peluang bisnis dalam penyediaan sarana transportasi, khususnya shuttle travel.  Perubahan tersebut juga memberikan dampak yang signifikan pada daerah wisata, khususnya Bali. Shuttle travel yang mendapatkan peringkat google review tertinggi adalah Bali Purnama 99 Travel. Berdasarkan wawancara kepada pemilik dan melakukan studi lapangan ditemukan permasalahan dan dikelompokkan dalam dimensi Service Quality.
Penelitian ini bertujuan untuk mengidentifikasi atribut kebutuhan berdasarkan true customer needs untuk mengetahui atribut prioritas yang harus ditingkatkan dalam kualitas layanan dari Bali Purnama 99 Travel. Penelitian ini menggunakan integrasi SERVQUAL dan Model Kano untuk mencapai tujuan penelitian tersebut. 
Penelitian ini menggunakan metode kuantitatif dengan melakukan penyebaran kuesioner SERVQUAL dan Model Kano kepada 100 responden pelanggan Bali Purnama 99 Travel.
Berdasarkan hasil pengolahan data pada kuesioner SERVQUAL didapatkan sebelas atribut kuat yang sudah memenuhi harapan pelanggan dan sembilan atribut lemah yang belum memenuhi harapan pelanggan. Berdasarkan hasil pengolahan data Model Kano didapatkan lima atribut kategori Attractive, delapan atribut kategori Must-be, dua atribut kategori One-dimensional, dan lima atribut kategori Indifferent. Berdasarkan hasil integrasi SERVQUAL dan Model Kano didapatkan sembilan atribut yang harus ditingkatkan berdasarkan true customer needs.","338.47 - Services and specific products, quantities produced, shortages, surpluses, stockpiles, forecasts and projections of supply and demand",Karya Ilmiah - Skripsi (S1) - Reference,"Service Industry, Service Quality,",2022,"Universitas Telkom, S1 Teknik Industri"
"PERANCANGAN SISTEM INFORMASI MANAJEMEN
BERBASIS WEB PADA ELOK BY IBU MENGGUNAKAN
METODE RAPID APPLICATION DEVELOPMENT YUMNA DHIYA MAZAYA",YUMNA DHIYA MAZAYA,YUMNA DHIYA MAZAYA,"AUGUSTINA ASIH RUMANTI, HILMA DWI ANGGANA","Elok by Ibu merupakan UMKM yang bergerak dalam bidang produksi dan penjualan accessories fashion dan souvenir. Elok by Ibu menjual produk melalui Shopee, Instagram, WhatsApp, dan offline, juga menerima pesanan produk untuk acara pernikahan atau perusahaan. Terdapat beberapa permasalahan pada Elok by Ibu yang berkaitan dengan penyimpanan dan pengelolaan data seperti; tidak sesuainya beberapa data pada perekapan data bulanan, terjadinya perbedaan antara stok produk real dengan yang dicatat, dan sulitnya mencari data terdahulu ketika dibutuhkan.  Permasalahan tersebut terjadi karena pencatatan dan pengolahan data Elok by Ibu belum terintegrasi dan terdokumentasikan secara baik. 
Perancangan sistem informasi manajemen tugas akhir ini menggunakan metode pengembangan sistem Rapid Application Development (RAD). RAD memiliki empat fase yaitu; requirement planning merupakan tahap pengumpulan data, identifikasi stakeholder; kebutuhan pengguna dan kebutuhan sistem; fase user design merupakan tahap pembuatan desain sistem; fase construction merupakan tahap pembuatan coding sesuai desain sistem; dan fase cutover merupakan pengujian dan analisis hasil sistem. 
Hasil tugas akhir ini berupa sistem informasi manajemen terintegrasi yang dapat membantu dalam melakukan pencatatan, penyimpanan, pengolahan, dan pengelolaan data-data internal Elok by Ibu. Sehingga memberikan kemudahan dalam rekapitulasi seluruh data, serta mudah dalam mendapatkan data secara real time. Sistem ini juga diharapkan dapat meminimalisir kesalahan pencatatan dan pengolahan data akibat kelalaian manusia. 
Hasil sistem melalui proses pengujian fungsionalitas menggunakan blackbox testing dengan menjalankan skenario penggunaan seluruh fungsi berhasil dilakukan. Pengujian validasi menggunakan user acceptance test (UAT) menghasilkan respon baik dari 4 pengguna yang melakukan pengujian. Rata-rata nilai persentase yang dihasilkan sebesar 87,75% sehingga dapat diinterpretasikan bahwa sistem informasi manajemen Elok by Ibu sesuai kebutuhan pengguna dan layak untuk digunakan.","658.403 801 1 - Information management-Systems, Information systems",Karya Ilmiah - Skripsi (S1) - Reference,"Management Information Systems, Web Design,",2022,"Universitas Telkom, S1 Teknik Industri"
PERANCANGAN SISTEM INFORMASI PEMILIHAN DAN EVALUASI KINERJA VENDOR BERBASIS WEBSITE MENGGUNAKAN METODE ANALYTICAL HIERARCHY PROCESS (AHP) DAN TECHNIQUE FOR ORDER PERFORMANCE BY SIMILAR TO IDEAL SOLUTION (TOPSIS) PADA PELAKSANAAN PROYEK STTF DI PT. XYZ RYANDIKA HARDITYA,RYANDIKA HARDITYA,RYANDIKA HARDITYA,"WAWAN TRIPIAWAN, DEVI PRATAMI","<p>Proyek Shift to the Front (STTF) merupakan salah satu proyek yang dilakukan oleh PT. XYZ yang pembangunannya dikerjakan oleh vendor. Akan tetapi pada saat pemilihan vendor PT.XYZ dalam sistem pemilihan dan evaluasi vendor masih dilakukan secara manual sehingga sering terjadinya miscommunication dalam tracking dokumen dan tracking proyek juga pemilihan dan evaluasi vendor dilakukan secara manual yang mempertimbangkan beberapa aspek yaitu harga, lokasi, riwayat pekerjaan vendor, serta kapabilitas vendor. Untuk mengatasi pemilihan dan evaluasi vendor secara manual dirancangnya sistem informasi pemilihan dan evaluasi vendor berbasis website berbentuk mock-up website yang memudahkan pengguna di PT.XYZ. Metode yang digunakan untuk pemilihan dan evaluasi vendor berdasarkan kriteria dan sub-kriteria yang telah ditentukan menggunakan metode Analytical Hierarchy Process (AHP) dan Technique for Order Preference by Similarity to Ideal Solution (TOPSIS). Hasil dari penilaian tingkat kepentingan kriteria dalam pemilihan vendor menghasilkan skala prioritas/bobot sebagai berikut: prioritas I Documentation (0.2194), prioritas II Quality (0.1751), prioritas III Warranties (0.1717), dan seterusnya. Dari hasil penilaian tingkat kepentingan alternatif dalam pemilihan vendor menghasilkan skala prioritas/bobot sebagai berikut: prioritas I Vendor 24(0.6904), prioritas II Vendor 2 (0.6218), dan prioritas III Vendor 19 (0.5907). </br>","658.403 801 1 - Information management-Systems, Information systems",Karya Ilmiah - Skripsi (S1) - Reference,"Information Management, Web Design,",2022,"Universitas Telkom, S1 Teknik Industri"
PERANCANGAN SISTEM INFORMASI PERAMALAN PERSEDIAAN BAHAN BAKU PADA RESTORAN HAWCHE DIMSUM BAR RANDY KURNIAWAN NUR,RANDY KURNIAWAN NUR,RANDY KURNIAWAN NUR,"AUGUSTINA ASIH RUMANTI, NURDININTYA ATHARI","Hawche merupakan bisnis yang bergerak dibidang food and baverage yang didirikan pada tahun 2020. Hawche menjual beraneka ragam hidangan yang berfokus pada hidangan dimsum. Hawche dalam pemenuhan kuantitas pengadaan bahan baku masih memperkirakan ketika jumlah stok persediaan yang akan dibeli. Hal tersebut menyebabkan ketidakefektifannya penjualan yang berlangsung pada saat stok persediaan bahan baku akan habis. Untuk mengatasi permasalahan tersebut,  Tugas Akhir ini merancang sistem peramalan persediaan, sehingga dapat memudahkan dalam proses pembaharuan persediaan produk untuk periode selanjutnya. 
Perancangan sistem peramalan ini menggunakan metode perhitungan Double Exponential Smoothing (DES). Metode DES digunakan untuk membantu merekomendasikan jumlah produk terbaik untuk diperbaharui. Sistem yang dirancang berbasis website menggunkan metode Rapid Application Development (RAD). Sistem diuji menggunakan metode blackbox testing dan user acceptance test untuk menunjukkan bahwa sistem berjalan dengan baik.
Hasil dari Tugas Akhir ini berupa sistem yang dapat memberikan rekomendasi jumlah bahan baku yang harus diperbaharui terbaik berdasarkan data-data terbaru penjualan terdahulu. Pengguna bisa memilih produk yang akan diramalkan sesuai dengan data kebutuhan. Hasil dari pengujian menunjukkan bahwa sistem dapat berjalan dengan baik dan sesuai kebutuhan.
Kesimpulan dari Tugas Akhir ini yaitu dihasilkan rancangan sistem peramalan untuk memberikan rekomendasi jumlah bahan baku yang harus diperbaharui. Sistem dapat menampilkan jumlah nilai terbaik untuk setiap produknya. Pengembangan sistem selanjutnya dapat berfokus pada penambahan fitur dan metode yang digunakan.",658.501 - industri,Karya Ilmiah - Skripsi (S1) - Reference,"Forecasting, Industri Engineering,",2022,"Universitas Telkom, S1 Teknik Industri"
Perancangan Sistem Kendali Suhu Berbasis IoT Untuk Budidaya Ayam Pedaging Dengan Sistem Closed House ILHAM FAUZI ADITYA,ILHAM FAUZI ADITYA,ILHAM FAUZI ADITYA,"AGUNG SURYA WIBOWO, WILLY ANUGRAH CAHYADI","Teknologi telah mengalami perkembangan yang sangat luar biasa pada abad ini. Terutama setelah ditemukannya transistor. Sebuah penemuan yang menjadi awal keberangkatan berkembangnya sistem otomatis atau autonomous system [1]. Direalisasikan pertama kali pada beberapa industri tertentu, kini autonomous system telah berkembang  pada insutri perternakan seperti budidaya ayam pedaging (broiler). 
Sistem closed house merupakan sebuah metode budidaya ayam yang dikembangkan untuk dapat memanipulasi sirkulasi udara dan temperatur di dalam kandang guna mendapatkan standar kebutuhan iklim ayam broiler. Oleh karena itu, pengendalian temperatur merupakan istilah yang tepat untuk sistem closed house ini. Sistem closed house harus memastikan semua fungsi dilakukan secara otomatis dengan sistem pengawasan (monitoring) dan input suhu acuan yang efektif. Sebagian besar praktik yang dilakukan dalam mengawasi berjalannya fungsi kendali dilakukan dengan cara berdiam diri di dalam kandang atau di dalam ruangan kendali. Hal ini tentu saja menimbulkan masalah, diantaranya adalah respon sistem yang tidak dapat 24 jam dan dikendalikan dengan sistem sistem open loop.
Pada tugas akhir ini penulis telah merancang sebuah sistem kendali suhu otomatis pada nilai 28-29? dan 31-32? berbasis IoT dengan waktu respon sistem kurang dari 60 detik untuk diaplikasikan pada kandang ayam broiler dengan sistem closed house. Perancangan ini dilakukan agar proses budidaya dapat dilakukan secara otomatis dan dimana saja tanpa harus melakukan kontak langsung dengan ayam broiler. 
Kata kunci: closed house, ayam broiler, kendali, IoT",629.8 - Automatic Control Engineering,Karya Ilmiah - Skripsi (S1) - Reference,Engineering Instruments-digital Control Systems,2022,"Universitas Telkom, S1 Teknik Elektro"
"Perancangan Sistem Tekanan Udara pada Ventilator 
Berbasis Arduino FACHRI AFIF RAMADHAN",FACHRI AFIF RAMADHAN,FACHRI AFIF RAMADHAN,"SONY SUMARYO, RIZKI A. PRIRAMADHI","Kita telah ketahui bersama pandemi COVID-19 sedang terjadi di segala 
penjuru dunia dan pastinya menyebabkan permintaan alat-alat medis meningkat 
tajam. Salah satu alat medis yang sangat dibutuhkan untuk penyembuhan para 
penderita COVID-19 adalah ventilator, bahkan sampai hari ini juga banyak instansi 
kesehatan yang kekurangan alat vital ini yang digunakan untuk menunjang 
pernapasan pasien yang umumnya kesulitan dalam bernapas.Kekurangan ventilator 
ini menjadi tujuan dari penelitian yang penulis lakukan dengan harapan penelitian 
ini dapat berperan dalam pembuatan ventilator low-cost khusus pasien COVID-19
yang dapat membantu permintaan di pasar.
Pada tugas akhir ini penulis merancang suatu sistem pada ventilator yang dapat 
mengetahui nilai tekanan, dimana jenis tekanan yang diukur ada 2 yaitu Peak 
Inspiratory Pressure (PIP), dan Positive end-expiratory pressure (PEEP). Penelitian 
menggunakan sesnsor MPX5010DP yang disambungkan dengan sensor flow 
hamilton yang terhubung langsung ke ventilator, lalu data yang diperoleh akan 
ditampilkan di LCD.
Hasil yang didapat pada penelitian ini didapatkan nilai tekanan Peak 
Inspiratory Pressure (PIP), dan Positive end-expiratory pressure (PEEP) yang 
keduanya dibandingkan dengan data yang sudah terstandardisasi di BALAI 
PENGAMANAN FASILITAS KESEHATAN (BPFK). Dengan nilai error senilai 
7,5617 % untuk PIP dan 125% untuk PEEP.
Kata Kunci: ventilator, COVID-19, tekanan.","621.391 6 - Microcomputers, Personal computers, Workstations, Minicomputerss",Karya Ilmiah - Skripsi (S1) - Reference,"Microcontroller Programming, Arduino,",2022,"Universitas Telkom, S1 Teknik Elektro"
