Judul,Penulis,Abstrak,SDGs
Performance Analysis of Virtual Learning System: A Case Study of ANGKASA,"[{""Penulis"":""Arisandi, Stevan Del""},{""Penulis"":""Selviandro, Nungki""},{""Penulis"":""Laksitowening, Kusuma Ayu""},{""Penulis"":""Kusumo, Dana Sulistyo""}]","Virtual e-learning system is a learning activity using electronic media such as computers and the internet as main tool. ANGKASA is a provider platform of e-learning system using cloud computing technology. E-learning system provides many benefits such as flexibility and efficiency for learning activity. However, there are some disadvantages of the usage of e-learning system, i.e., there are still many institutions especially educational institutions that still implementing conventional- based of e-learning system which considered ineffective both in terms of cost and time for infrastructure. These disadvantages can be resolved by using cloud computing system. In this study, we are implementing cloud computing system using virtualization technology. There are two methods of virtualization used in this study, full virtualization or VM and container virtualization. In this study, we are comparing the performance of these two methods of virtualization using Apache Benchmarking tool. The study shows that the container virtualization method is better than the VM virtualization method in terms of serving requests for virtual e-learning system. © 2023 Global IT Research Institute (GiRI).","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
An overview on information assurance framework for smart government in Indonesia,"[{""Penulis"":""Utomo, Rio Guntur""},{""Penulis"":""Andrian, Rian""},{""Penulis"":""Wills, Gary""}]","This paper offers a solution concept to develop an IA framework for Smart Government. Smart Government is an extended model of eGovernment and is an attempt to use developing technology to realise unfulfilled promises from previous modernisation initiatives such as new public management and eGovernment. Since the implementation of Smart Government relying on ICT, an approach to protect any threat to the information and systems and assure the business continuity in the event of an is needed. As a result, information assurance (IA) should be taken into consideration. The basic goal of information assurance is to protect businesses by lowering risks connected with data and information systems and assuring business continuity. However, although there are some studies focused on IA for eGovernment in Indonesia, there is no study so far that has focused on IA for Smart Government in Indonesia. This paper provides an overview of the relationship between Smart Cities, Smart Governance, and Smart Government. Furthermore, because Smart Government is an extended model of eGovernment, this paper also formulates a solution concept to develop an IA framework for eGovernment further to be an IA framework for Smart Government. The solution is, by using the triangulation method, an IA framework for Smart Government can be developed by identifying IA factors for eGovernment, IoT, Big Data, and Open Data. Using the solution concept, the future framework can be used to support IA implementation for Smart Government in Indonesia.  © 2023 Author(s).","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1]"
Toward Accurate Fused Deposition Modeling 3D Printer Fault Detection Using Improved YOLOv8 With Hyperparameter Optimization,"[{""Penulis"":""Karna, Nyoman Bogi Aditya""},{""Penulis"":""Putra, Made Adi Paramartha""},{""Penulis"":""Rachmawati, Syifa Maliah""},{""Penulis"":""Abisado, Mideth""},{""Penulis"":""Sampedro, Gabriel Avelino""}]","This research article presents an enhanced YOLOv8 model with an additional feature extraction layer integrated into the traditional YOLOv8 architecture to improve fault detection performance in smart additive manufacturing, specifically for FDM 3D printers. Hyperparameter optimization techniques are employed to ensure the model is trained with optimal input and batch size configurations. The findings demonstrate that the additional module successfully enhances the model's performance in detecting faults during the FDM 3D printing process. The best results are achieved using the YOLOv8s model with an image input size of 640 and a batch size of 16, achieving a mAPval (50-95) of 89.7%. Despite the increased complexity from additional layers, there is a favorable trade-off between performance and complexity. Furthermore, a testbed implementation is conducted to validate the model's performance in a real-world setting, showing that the fault detection latency remains insignificant even with multiple Raspberry Pi clients. Overall, this research provides insights into improving fault detection in smart additive manufacturing and highlights the effectiveness of the proposed YOLOv8 model with additional extraction layers. © 2013 IEEE.","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
A TRIZ-Supported Concept and Protocol Development for Roof Tile Transportation and Inspection Systems,"[{""Penulis"":""Phuah, Zhi Yuan""},{""Penulis"":""Ng, Poh Kiat""},{""Penulis"":""Prasetio, Murman Dwi""},{""Penulis"":""Liew, Kia Wai""},{""Penulis"":""Lim, Boon Kian""},{""Penulis"":""Oktafiani, Ayudita""},{""Penulis"":""Salma, Sheila Amalia""},{""Penulis"":""Safrudin, Yunita Nugrahaini""}]","Currently, the use of manual labour in the transportation and inspection systems of leading roof tile manufacturing companies in Indonesia is still prevalent. Manual labour is usually labour-intensive, has higher risks of musculoskeletal disorders, and produces frequent occurrences of errors and losses. Furthermore, the current studies of suitable concepts and test protocols for roof tile transportation at the manufacturing stage as well as their inspection systems are not practicable in Indonesia. There is also no study that has used the theory of inventive problem-solving (TRIZ) in the development of concepts and protocols for roof tile transportation and inspection systems. Using TRIZ as a supporting tool, this study investigated the development of a transportation system to be employed during the manufacturing of the roof tile and a test protocol for their usability in Indonesian companies to overcome this concern. The study included screening and scoring concepts and usability test protocols identified from the existing literature, with the support of TRIZ tools such as the engineering contradiction, contradiction matrix, and inventive principles. Thus, the finalised concept comprised a belt conveyor system (Inventive Principle 20: Continuity of Useful Action) with a flipping mechanism for transportation and a vision-based camera for inspection. Results of the study showed that the concept excelled in cost, durability, reliability, versatility, low risk to the product, efficiency, and safety. The t-test protocol (Inventive Principle 23: Feedback) was selected based on the results due to its versatility in testing efficiency, reliability, and productivity. It was concluded that this concept has the potential to alleviate roof tile workers of physical work and reduce the prevalence of musculoskeletal disorders. © 2023 by the authors.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Tourism Route Recommendation Using Reinforcement Learning,"[{""Penulis"":""Mubarak, Muhammad Ilham""},{""Penulis"":""Baizal Z.K.A.""}]","Tourism is a rapidly growing sector that has a significant impact on increasing a country's national income. Indonesia's GDP is expected to grow in the coming years, and tourism is a major contributor to this growth. To address the high demand for tourism, we propose a personalized tourism route recommendation system that can assist tourists in planning their itineraries. This problem can be modeled as a Traveling Salesman Problem, which can be approached using Markov Decision Processes and reinforcement learning. In this paper, we proposed a method for generating N-days tourism routes in the Special Region of Yogyakarta that involves using Q-learning to recommend routes. We have included time constraints in our approach to fit the tour into a specific time frame and adhere to the operating hours of tourist attractions. Additionally, our method uses the Multi-Attribute Utility Theory to consider various attributes, such as rating, travel time, and cost, as cost functions to satisfy the user's custom desired needs and preferences. The proposed method was compared to the Firefly algorithm in multiple experiments to assess its performance and determine its optimality. The experiment results showed that the proposed method is 42.89% more optimal for generating the tour than the Firefly algorithm. © 2023 IEEE.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Classification of Histopathological Images of Colon Cancer Using Convolutional Neural Network Method,"[{""Penulis"":""Kelana, Yusuf Ghifari Cahya""},{""Penulis"":""Rizal, Syamsul""},{""Penulis"":""Saidah, Sofia""}]","Colon cancer is cancer with the most deaths in Indonesian society. Detection of disease through histopathological images of colon cancer still uses manual methods with readings by doctors. So it is necessary to do a system to detect and classify colon cancer. This study aims to create a colon cancer classification system to reduce the time in classifying the categories of colon cancer. In this study, a classification system for colon cancer was created into two classes, namely adenocarcinomas and polyps. Colon cancer data used in this study is data obtained online through the Kaggle website which consists of 2000 histopathological images measuring 768 pixels in jpeg format. The system is built using the Convolutional Neural Network (CNN) method with the MobileNet architecture. The design of this system is made by analyzing parameters that affect system performance based on the influence of image size, optimizer, learning rate, activation function, and batch size. Parameters used in evaluating system performance are accuracy, precision, recall, and f1-score. The results of testing the system based on parameters obtained the best model with image size 224x224 pixels, Adam optimizer, learning rate 0.0001, sigmoid activation function, and batch size 40. The best results of the best model are 100% accuracy value, 100% precision value, 100% recall value, and 100% f1-score with a loss of 0.000135. © 2023 IEEE.","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Toward cooperative competitiveness for community development in Economic Society 5.0,"[{""Penulis"":""Wahyuningtyas, Ratri""},{""Penulis"":""Disastra, Ganjar""},{""Penulis"":""Rismayani, Risris""}]","Purpose: Economic Society 5.0 is the answer to the challenges of the Industrial Revolution 4.0 through the creation of new value from the development of advanced technology that aims to reduce the gap between human and economic problems. Excellent human resources and adequate digital infrastructure are requirements in an Economic Society 5.0. Cooperatives as community economic organizations are players in the Industrial Revolution 4.0. Because of low competitiveness, cooperatives cannot create new and sustainable income streams, particularly digitalization capabilities. This study aims to encourage the competitiveness of cooperatives in the West Java region, Indonesia, in an Economic Society 5.0 by identifying the correlation between digital capabilities, digital orientation, employee resistance, government support, digital innovation and competitiveness. Design/methodology/approach: This study uses a quantitative method through surveys as data collection techniques by distributing questionnaires to 386 leaders of cooperatives in West Java. Hypothesis testing uses analysis technique of structural equation modeling with partial least squares tool. Findings: There are five hypotheses that are supported in the proposed model in this study. Digital orientation and government support have a positif and significant effect on digital innovation, in contrary; digital capability and employee resistance do not show any effect. Digital orientation, government support and digital capability also have a positive and significant effect on competitiveness. Meanwhile, employee resistance and digital innovation have no significant effect on competitiveness. Digital innovation was also found not to mediate the relationship between digital orientation, government support, digital capability and employee resistance with competitiveness. Originality/value: This study provides new insights into the study of cooperatives as community’s economic institutions. This study adds empirical evidence of the factors that influence the competitiveness of cooperative institutions in Indonesia as a driver of the community’s economy. This study also provides practical implications for the development of cooperative competitiveness in developing countries, particularly in Indonesia. © 2021, Ratri Wahyuningtyas, Ganjar Disastra and Risris Rismayani.","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
Water conservation in buildings that related to the environment in Indonesia,"[{""Penulis"":""Rusyda, Hana Faza Surya""}]","Clean water is a source of life for living things. However, nowadays, water has become a disaster in some areas, such as flooding. One of the reasons is that some buildings neglect water conservation and environmental implementation, such as poor drainage in buildings, unfiltered wastewater, and no use of rainwater. This study aims to determine the condition of the waters in Semarang Indonesia and determine the application of water conservation technology that can be pursued in buildings. The research data was obtained descriptively, namely forums, group discussions, scientific seminars, journals, and other media. The results of this research are the application of water conservation in Indonesia that is easy and basic for indoors, outdoors, and concepts for new buildings that reduce the impact of disasters.  © 2023 Author(s).","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Information Technology Job Profile Using Average-Linkage Hierarchical Clustering Analysis,"[{""Penulis"":""Siswipraptini, Puji Catur""},{""Penulis"":""Warnars, Harco Leslie Hendric Spits""},{""Penulis"":""Ramadhan, Arief""},{""Penulis"":""Budiharto, Widodo""}]","The growth in Information Technology (IT) jobs is predicted to reach 15 percent between 2021 and 2031. The growth of IT jobs has resulted in a remarkable change in all infrastructure, such as information, skills, and domains covered in IT job profiles. Unfortunately, job roles and skills in this field remain undefined. The gap between the supply and demand needs in the IT workforce must be filled immediately with an appropriate strategy. To fulfill industry needs, an in-depth analysis of IT job profiles is important. Therefore, it is important for educational programs to identify the competencies needed by the industry to update their output. This study aims to identify the job profiles required for IT job specialists by analyzing real-world job posts published online to identify hidden meanings from a textual database. A systematic semantic methodology was proposed using an average-linkage hierarchical clustering analysis. It resembles a tree structure technique to discover relevant phrases, relationships, and hidden meanings through semantic analysis. Occurrences of the most frequent words and phrases were extracted to reveal the domain knowledge of each IT job cluster. The result is a systematic semantic analysis of the IT job profile comprising the programming language, specialized type, duty, database, tools, and frameworks. The justification for each job profile was validated by 10 IT professionals from various private and government companies in Indonesia through Focus Group Discussions (FGD).  © 2013 IEEE.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"Interactions among Cold Surge, Cross-Equatorial Northerly Surge, and Borneo Vortex in influencing extreme rainfall during Madden–Julian oscillation over the Indonesia Maritime Continent","[{""Penulis"":""Trismidianto""},{""Penulis"":""Andarini, Dita Fatria""},{""Penulis"":""Muharsyah, Robi""},{""Penulis"":""Purwaningsih, Anis""},{""Penulis"":""Risyanto""},{""Penulis"":""Nauval, Fadli""},{""Penulis"":""Fathrio, Ibnu""},{""Penulis"":""Harjupa, Wendi""},{""Penulis"":""Nuryanto, Danang Eko""},{""Penulis"":""Harjana, Teguh""},{""Penulis"":""Satiadi, Didi""},{""Penulis"":""Saufina, Elfira""},{""Penulis"":""Praja, Alfan Sukmana""}]","The effect of Cold Surge (CS), Cross-Equatorial Northerly Surge (CENS), and Borneo Vortex (BV) on extreme rainfall in the Indonesia Maritime Continent (the IMC) during the wet season (November–March) under active and inactive Madden–Julian Oscillation (MJO) has been evaluated using observational data from 3108 weather stations and gridded GSMaP data. The results showed that the effect of these three phenomena on extreme rainfall in the IMC is significantly modulated by MJO conditions, with the magnitude of the impact varying among regions. The analysis was done by dividing into three groups: single events, double events, and three events. When CS occurs singly, there is an increase in PCE along the CS pathway from the southeastern Philippines when MJO is active and vice versa when MJO is inactive. However, there was an increase in PCE in several other areas in IMC when MJO was inactive. The pattern of PCE increase when CENS is single in active MJO is almost the same as during inactive MJO, namely from Java Island to Nusa Tenggara and along the Indian Ocean in the southern region of Java Island. However, the intensity is higher when the inactive MJO, which suggests that the role of the MJO is to reduce the influence of CENS on extreme rainfall in the area. The effect of BV in the South China Sea on extreme rainfall is higher when inactive MJO than active MJO due to the role of MJO in reducing the frequency of BV events. CS and CENS tend to attenuate their effects on oceanic rainfall extremes mutually. However, they mutually reinforced their influence on the mainland when the inactive MJO. CENS and BV reinforce each other’s influence on each other’s locations when active MJO. However, it’s the other way around when inactive MJO. CS and BV reinforce each other’s influence on extreme rainfall when they occur together, either when the MJO is active or inactive, but CS is more likely to strengthen the development of BV. MJO has the property of weakening the influence of CS + CENS + BV around Java Island and the southern IMC if they occur together. © 2023, The Author(s), under exclusive licence to Springer-Verlag GmbH Austria, part of Springer Nature.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Multi-Label Classification of Indonesian Online Toxicity using BERT and RoBERTa,"[{""Penulis"":""Sagama, Yoga""},{""Penulis"":""Alamsyah, Andry""}]","Online toxicity detection in Indonesian digital interactions poses a significant challenge due to the complexity and nuances of language. This study aims to evaluate the effectiveness of the BERT and RoBERTa language models, specifically IndoBERTweet, IndoBERT, and Indonesian RoBERTa, for identifying toxic content in Bahasa Indonesia. Our research methodology includes data collection, dataset pre-processing, data annotation, and model fine-tuning for multi-label classification tasks. The model performance is assessed using macro average of precision, recall, and F1-score. Our findings show that IndoBERTweet, fine-tuned under optimal hyperparameters (5e-5 learning rate, a batch size of 32, and three epochs), outperforms the other models with a precision of 0.85, recall of 0.94, and an F1-score of 0.89. These findings indicate that IndoBERTweet performs better in detecting and classifying online toxicity in Bahasa Indonesia. The study 's implications extend to fostering a safer and healthier online environment for Indonesian users, while also providing a foundation for future research exploring additional models, hyperparameter optimizations, and techniques for enhancing toxicity detection and classification in the Indonesian language.  © 2023 IEEE.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Design and implementation of automatic solar water pumps for irrigation,"[{""Penulis"":""Maharani, Sarah""},{""Penulis"":""Aprillia, Bandiyah Sri""},{""Penulis"":""Pangaribuan, Porman""},{""Penulis"":""Aulia, Ananda Ayu""}]","Irrigation of rice fields can be done easily during the rainy season by utilizing irrigation water routes. During the dry season, farmers oftentimes use groundwater for irrigation. Water pumps that are commonly used when taking groundwater are typically powered by diesel or electrical grid from PLN. However, the long distance between energy sources and water pumps for irrigating rice fields is one of the obstacles in Mauk Village. Therefore, this study aims to design and implement a solar powered water pump for irrigation. Based on the research results, the 50 WP solar powered water pump can operate in sunny, overcast, and cloudy weather. The low intensity of solar radiation on cloudy days causes the irrigation time to be longer than sunny days. This is because the power output of the off grid solar power system is strongly influenced by the test weather conditions. In sunny conditions, the highest power resulted was 33.01 Watt, while in cloudy and overcast conditions the maximum power obtained was only 27.60 Watt and 24.34 Watt respectively. The output power of the solar panel also affects the amount of battery SOC that can be charged, the greater the power generated, the higher the percentage of the battery SOC. In addition, the cost savings for solar powered pumps equal to more than 90% compared to diesel water pumps.  © 2023 Author(s).","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Capability Development to Generate Business Value Through Customer-centric Analytics in the Banking Industry: A Systematic Review,"[{""Penulis"":""Kristiana, Idha""},{""Penulis"":""Ramadhan, Arief""},{""Penulis"":""Trisetyarso, Agung""},{""Penulis"":""Abdurachman, Edi""},{""Penulis"":""Zarlis, Muhammad""}]","Data is growing significantly, and banks are one of the ecosystems that contribute to data growth. Data governance is a challenge in banks due to the high level of confidentiality and the involvement of regulators in data management and technology implementation. Big data requires technology to manage it, while technology investment is a challenge, namely how technology investment to manage big data can contribute to generating value in business. There are two main points in this study: the first is about building capability, and the second is generating value. Through the literature review, it is known that there are challenges to optimizing the capability of data technology implementation and analytics business cases in the banking industry to create business value. The challenges to building capabilities as a basis for data-driven business are data characteristics, data processing, data accessibility, data literacy, and data technology. The challenge is determining how to improve data accessibility and data literacy. When the capability has been built, generating value can be done on top of that, namely by increasing revenue, reducing costs, and lowering risk. To do this, it is necessary to run business use case analytics whose results can be measured, which focus on personalization and recommendations, optimizing processes with automation and integration, and optimizing credit risk. The results of the literature review are described in a conceptual model of capability development to generate value, which is the basis for developing a business strategy that can increase business value. Customer-centric analytics should be implemented by embedding an analytics engine in bank applications such as mobile banking, internet banking, or customer relationship management (CRM) applications that will improve the user experience such as personalization and recommendation as the keys to improving customer solutions. The impact is to increase customer attachment to a bank's applications and products because customers not only carry out daily banking activities but also have embedded insights that help them in their decision-making. By implementing Explore Understand Action Engage (EUAE) for customer journey, customer-centric analytics provide customers with a comprehensive view of their bank account activity and control over their money management, improve customer engagement by providing insights and recommendation. © 2023, Success Culture Press. All rights reserved.","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
