Judul,Penulis,AbstrakClean,target,aspects
Performance Analysis of Virtual Learning System: A Case Study of ANGKASA,"[{""Penulis"":""Arisandi, Stevan Del""},{""Penulis"":""Selviandro, Nungki""},{""Penulis"":""Laksitowening, Kusuma Ayu""},{""Penulis"":""Kusumo, Dana Sulistyo""}]",Sistem Pembelajaran E Virtual adalah kegiatan pembelajaran menggunakan media elektronik seperti komputer dan internet sebagai alat utama Angkasa adalah platform penyedia sistem pembelajaran E menggunakan teknologi komputasi awan.Beberapa kerugian dari penggunaan sistem pembelajaran e. Masih banyak institusi terutama lembaga pendidikan yang masih menerapkan sistem pembelajaran E berdasarkan konvensional yang dianggap tidak efektif baik dalam hal biaya maupun waktu untuk infrastruktur ini dapat diselesaikan dengan menggunakan sistem komputasi awan di dalamStudi ini kami menerapkan sistem komputasi awan menggunakan teknologi virtualisasi ada dua metode virtualisasi yang digunakan dalam penelitian ini virtualisasi penuh atau VM dan virtualisasi kontainer dalam penelitian ini kami membandingkan kinerja kedua metode virtualisasi ini menggunakan alat pembandingan apache yang ditunjukkan bahwa penelitian ini menunjukkan bahwaMetode virtualisasi kontainer lebih baik daripada metode virtualisasi VM dalam hal melayani permintaan untuk sistem pembelajaran v virtual Global IT Research Institute Giri,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",SDG4
An overview on information assurance framework for smart government in Indonesia,"[{""Penulis"":""Utomo, Rio Guntur""},{""Penulis"":""Andrian, Rian""},{""Penulis"":""Wills, Gary""}]","Makalah ini menawarkan konsep solusi untuk mengembangkan kerangka kerja IA untuk Pemerintah Pemerintah Cerdas yang cerdas adalah model Egovernment yang diperluas dan merupakan upaya untuk menggunakan teknologi pengembangan untuk mewujudkan janji -janji yang tidak terpenuhi dari inisiatif modernisasi sebelumnya seperti manajemen publik baru dan egovernment sejak implementasi Smartgovernment relying on ict  an approach to protect any threat to the information and systems and a ure the busine  continuity in the event of an is needed  as a result  information a urance  ia  should be taken into consideration  the basic goal of information a urance is to protectBusine ES dengan menurunkan risiko yang terkait dengan data dan sistem informasi dan kontinuitas busin yang uring namun meskipun ada beberapa penelitian yang berfokus pada IA untuk Egovernment di Indonesia, sejauh ini tidak ada penelitian yang berfokus pada IA untuk Pemerintah Cerdas di Indonesia, makalah ini memberikan tinjauan umumHubungan antara Kota Cerdas Tata Kelola Cerdas dan Pemerintah Cerdas Selanjutnya karena Pemerintahan Cerdas adalah model Egovernment yang diperluas, makalah ini juga merumuskan konsep solusi untuk mengembangkan kerangka kerja IA untuk egovernment lebih lanjut menjadi kerangka kerja IA untuk pemerintah pintar solusinya adalah dengan menggunakanMetode Triangulasi Kerangka kerja IA untuk Pemerintah Cerdas dapat dikembangkan dengan mengidentifikasi faktor -faktor IA untuk Egovernment IoT Big Data dan Data Terbuka Menggunakan Konsep Solusi Kerangka kerja di masa depan dapat digunakan untuk mendukung implementasi IA untuk Pemerintah Cerdas di Indonesia Penulis S","1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1","SDG1,SDG11,SDG16,SDG17"
Toward Accurate Fused Deposition Modeling 3D Printer Fault Detection Using Improved YOLOv8 With Hyperparameter Optimization,"[{""Penulis"":""Karna, Nyoman Bogi Aditya""},{""Penulis"":""Putra, Made Adi Paramartha""},{""Penulis"":""Rachmawati, Syifa Maliah""},{""Penulis"":""Abisado, Mideth""},{""Penulis"":""Sampedro, Gabriel Avelino""}]","Artikel penelitian ini menyajikan model YOLOV yang ditingkatkan dengan lapisan ekstraksi fitur tambahan yang diintegrasikan ke dalam arsitektur YOLOV tradisional untuk meningkatkan kinerja deteksi kesalahan dalam manufaktur aditif pintar khusus untuk fdm d printer teknik optimisasi hiperparameter digunakan untuk memastikan model ini dilatih dengan input dan batch optimal yang optimal digunakan untuk memastikan input dan batch optimal dengan optimal dan batch optimal dilatih dengan optimal dan batch optimal optimalKonfigurasi Ukuran Temuan menunjukkan bahwa modul tambahan Succe sepenuhnya meningkatkan kinerja model dalam mendeteksi kesalahan selama prosedur pencetakan fdmTerlepas dari peningkatan kompleksitas dari lapisan tambahan, ada perdagangan yang menguntungkan antara kinerja dan kompleksitas selanjutnya implementasi testbed dilakukan untuk memvalidasi kinerja model dalam pengaturan dunia nyata yang menunjukkan bahwa latensi deteksi kesalahan tetap tidak signifikan bahkan dengan banyak klien raspberry pi raspberry ini secara keseluruhan ini iniPenelitian memberikan wawasan tentang peningkatan deteksi kesalahan dalam manufaktur aditif pintar dan menyoroti efektif model YOLOV yang diusulkan dengan lapisan ekstraksi tambahan IEEEE","0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",SDG9
A TRIZ-Supported Concept and Protocol Development for Roof Tile Transportation and Inspection Systems,"[{""Penulis"":""Phuah, Zhi Yuan""},{""Penulis"":""Ng, Poh Kiat""},{""Penulis"":""Prasetio, Murman Dwi""},{""Penulis"":""Liew, Kia Wai""},{""Penulis"":""Lim, Boon Kian""},{""Penulis"":""Oktafiani, Ayudita""},{""Penulis"":""Salma, Sheila Amalia""},{""Penulis"":""Safrudin, Yunita Nugrahaini""}]","currently  the use of manual labour in the transportation and inspection systems of leading roof tile manufacturing companies in indonesia is still prevalent  manual labour is usually labour intensive  has higher risks of musculoskeletal disorders  and produces frequent occurrences of errors and lo es  furthermore  the current studies of suitableKonsep dan protokol uji untuk transportasi ubin atap pada tahap manufaktur serta sistem inspeksi mereka tidak dapat dipraktikkan di Indonesia juga tidak ada penelitian yang telah menggunakan teori pemecahan masalah inventif TRIZ dalam pengembangan konsep dan protokol untuk transportasi ubin atap dan transportasi dan protokol atap dan transportasi dan protokol atap dan ubin dan protokol atap dan ubin atap dan ubin dan protokol atap dan ubin atap dan ubin atap dan ubin atap dan ubin dan protokol atap dan atap dan protokol atap dan atap dan protokol atap dan atap dan protokol atap dan atap dan protokol atap danSistem Inspeksi Menggunakan TRIZ Sebagai Alat Pendukung Studi ini menyelidiki pengembangan sistem transportasi yang akan digunakan selama pembuatan ubin atap dan protokol uji untuk kegunaannya di perusahaan Indonesia untuk mengatasi masalah ini, penelitian ini termasuk skrining dan konsep penilaian dan kegunaanProtokol uji yang diidentifikasi dari literatur yang ada dengan dukungan alat TRIZ seperti matriks kontradiksi kontradiksi rekayasa dan prinsip -prinsip inventif dengan demikian konsep yang difinalisasi terdiriHasil inspeksi dari penelitian ini menunjukkan bahwa konsep ini unggul dalam keandalan ketahanan biaya keandalan risiko rendah terhadap efisiensi produk dan keamanan. Umpan balik prinsip inventif protokol t uji t dipilih berdasarkan hasil karena keserbagunaannya dalam pengujian keandalan efisiensi dan produktivitas disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa itu disimpulkan bahwa hal itu disimpulkanKonsep ini memiliki potensi untuk meringankan pekerja ubin atap pekerjaan fisik dan mengurangi prevalensi gangguan muskuloskeletal oleh penulis","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1","SDG1,SDG17"
Tourism Route Recommendation Using Reinforcement Learning,"[{""Penulis"":""Mubarak, Muhammad Ilham""},{""Penulis"":""Baizal Z.K.A.""}]","Pariwisata adalah sektor yang berkembang pesat yang memiliki dampak signifikan pada peningkatan pendapatan nasional suatu negara PDB Indonesia diperkirakan akan tumbuh di tahun -tahun mendatang dan pariwisata merupakan kontributor utama pertumbuhan ini untuk menambah permintaan tinggi untuk pariwisata yang kami usulkan pariwisata yang dipersonalisasiSistem Rekomendasi Rute yang dapat menjadi wisatawan IST dalam merencanakan rencana perjalanan mereka, masalah ini dapat dimodelkan sebagai masalah salesman keliling yang dapat didekati dengan menggunakan prosedur keputusan Markov dan pembelajaran penguatan dalam makalah ini kami mengusulkan metode untuk menghasilkan rute pariwisata dalam hari ini dalam rute pariwisata dalam khususWilayah Yogyakarta yang melibatkan penggunaan Q Belajar untuk merekomendasikan rute, kami telah memasukkan kendala waktu dalam pendekatan kami agar sesuai dengan tur ke dalam kerangka waktu tertentu dan mematuhi jam operasi tempat wisata juga metode kami menggunakan teori utilitas atribut multi untuk mempertimbangkan berbagai atributseperti peringkat waktu perjalanan dan biaya sebagai fungsi biaya untuk memenuhi kebutuhan dan preferensi yang diinginkan oleh pengguna yang diusulkan metode yang diusulkan dibandingkan dengan algoritma Firefly dalam beberapa percobaan dengan kinerjanya dan menentukan optimalitasnya, hasil percobaan menunjukkan bahwa metode yang diusulkan lebih banyakoptimal untuk menghasilkan tur daripada algoritma Firefly IEEE","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1","SDG1,SDG17"
Classification of Histopathological Images of Colon Cancer Using Convolutional Neural Network Method,"[{""Penulis"":""Kelana, Yusuf Ghifari Cahya""},{""Penulis"":""Rizal, Syamsul""},{""Penulis"":""Saidah, Sofia""}]",Kanker usus besar adalah kanker dengan kematian paling banyak dalam deteksi masyarakat Indonesia penyakit melalui gambar histopatologis kanker usus besar masih menggunakan metode manual dengan bacaan oleh dokter sehingga perlu melakukan sistem untuk mendeteksi dan CLA ify Culut Cancer Studi ini bertujuan untuk menciptakan aKanker usus besar sistem ifikasi CLA untuk mengurangi waktu dalam cla ifying kategori kanker usus besar dalam penelitian ini sistem ifikasi CLA untuk kanker usus besar diciptakan menjadi dua cla yaitu adenokarsinoma dan polip data kanker usus besar yang digunakan dalam penelitian ini adalah data yang diperoleh secara online melalui fileSitus web Kaggle yang terdiri dari gambar histopatologis yang mengukur piksel dalam format jpeg Sistem ini dibangun menggunakan metode CNN jaringan saraf konvolusional dengan arsitektur mobilenet. Desain sistem ini dibuat dengan menganalisis parameter yang mempengaruhi kinerja sistem berdasarkan pengaruh pengoptimal ukuran gambar gambar pembelajaran gambar gambar dibuat dengan menganalisis gambar gambar yang didasarkan pada pengaruh gambar gambar gambar gambar gambar dibuat dengan menganalisis gambar gambar gambar gambar gambar gambar gambarFungsi aktivasi laju dan parameter ukuran batch yang digunakan dalam mengevaluasi kinerja sistem adalah akurasi penarikan presisi dan skor f.dari model terbaik adalah nilai akurasi nilai penarikan nilai presisi dan skor F dengan lo dari IEEE,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",SDG3
Toward cooperative competitiveness for community development in Economic Society 5.0,"[{""Penulis"":""Wahyuningtyas, Ratri""},{""Penulis"":""Disastra, Ganjar""},{""Penulis"":""Rismayani, Risris""}]","Tujuan Masyarakat Ekonomi adalah jawaban atas tantangan revolusi industri melalui penciptaan nilai baru dari pengembangan teknologi canggih yang bertujuan untuk mengurangi kesenjangan antara masalah manusia dan ekonomi sumber daya manusia yang sangat baik dan infrastruktur digital yang memadai adalah persyaratan dalam koperasi masyarakat ekonomi ekonomi ekonomiKarena organisasi ekonomi masyarakat adalah pemain dalam Revolusi Industri karena koperasi yang rendah kompetisi tidak dapat menciptakan aliran pendapatan yang baru dan berkelanjutan, terutama kemampuan digitalisasi yang bertujuan ini untuk mendorong kompetisi koperasi di wilayah Jawa Barat Indonesia dalam masyarakat ekonomi dengan mengidentifikasi korelasi antara digitalkemampuan orientasi digital resistensi karyawan pemerintah mendukung inovasi digital dan pendekatan metodologi desain kompetitivene penelitian ini menggunakan metode kuantitatif melalui survei sebagai teknik pengumpulan data dengan mendistribusikan kuesioner kepada para pemimpin koperasi di alat pengujian hipotesis Java Barat menggunakan teknik analisis pemodelan persamaan struktural dengan parsial kuquares Tool Parsial Twipares ParsialTemuan Ada lima hipotesis yang didukung dalam model yang diusulkan dalam penelitian ini orientasi digital dan dukungan pemerintah memiliki pengaruh positif dan signifikan pada inovasi digital dalam kemampuan digital yang bertentangan dan resistensi karyawan tidak menunjukkan efek orientasi digital dukungan dan kemampuan digital jugaEfek positif dan signifikan pada kompetitivene resistensi karyawan dan inovasi digital tidak memiliki pengaruh yang signifikan terhadap inovasi digital kompetitivene juga ditemukan untuk tidak memediasi hubungan antara orientasi digital yang mendukung kemampuan digital pemerintah dan resistensi karyawan dengan nilai orisinalitas kompetitivene penelitian ini memberikan wawasan baru ke dalamStudi Koperasi Sebagai Lembaga Ekonomi Komunitas Studi ini menambahkan bukti empiris dari faktor -faktor yang mempengaruhi kompetitivena lembaga koperasi di Indonesia sebagai pendorong ekonomi masyarakat, studi ini juga memberikan implikasi praktis untuk pengembangan kompetitiven koperasi di negara -negara berkembang khususnya di dalamIndonesia Ratri Wahyuningtyas Ganjar Disastra dan Risris Rismayani","1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1","SDG1,SDG9,SDG17"
Water conservation in buildings that related to the environment in Indonesia,"[{""Penulis"":""Rusyda, Hana Faza Surya""}]",Air bersih adalah sumber kehidupan bagi makhluk hidup namun saat ini air telah menjadi bencana di beberapa daerah seperti membanjiri salah satu alasannya adalah bahwa beberapa bangunan mengabaikan konservasi air dan implementasi lingkungan seperti drainase yang buruk di gedung -gedung air limbah tanpa filter dan tidak ada penggunaan air hujan air hujanPenelitian ini bertujuan untuk menentukan kondisi perairan di Semarang Indonesia dan menentukan penerapan teknologi konservasi air yang dapat dikejar di gedung -gedung data penelitian diperoleh secara deskriptif yaitu forum -forum grup discu ion jurnal seminar ilmiah dan media lainnya hasil penelitian ini adalahPenerapan konservasi air di Indonesia yang mudah dan mendasar untuk di luar ruangan di luar ruangan dan konsep untuk bangunan baru yang mengurangi dampak penulis bencana,"1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1","SDG1,SDG6,SDG17"
Information Technology Job Profile Using Average-Linkage Hierarchical Clustering Analysis,"[{""Penulis"":""Siswipraptini, Puji Catur""},{""Penulis"":""Warnars, Harco Leslie Hendric Spits""},{""Penulis"":""Ramadhan, Arief""},{""Penulis"":""Budiharto, Widodo""}]","Pertumbuhan Teknologi Informasi Pekerjaan TI diprediksi mencapai persen antara dan pertumbuhan pekerjaan TI telah menghasilkan perubahan luar biasa dalam semua infrastruktur seperti keterampilan informasi dan domain yang tercakup dalam profil pekerjaan TI sayangnya peran dan keterampilan pekerjaan di bidang ini tetap tidak terdefinisiKesenjangan antara kebutuhan penawaran dan permintaan dalam tenaga kerja TI harus segera diisi dengan strategi yang tepat untuk memenuhi kebutuhan industri yang mendalam analisis profil pekerjaan TI adalah penting bagi program pendidikan untuk mengidentifikasi kompetensi yang dibutuhkan oleh industri untuk memperbaruiOutput mereka Penelitian ini bertujuan untuk mengidentifikasi profil pekerjaan yang diperlukan untuk spesialis pekerjaan TI dengan menganalisis posting pekerjaan dunia nyata yang diterbitkan secara online untuk mengidentifikasi makna tersembunyi dari database tekstual, metodologi semantik yang sistematis diusulkan menggunakan analisis pengelompokan hierarkis keterkaitan rata -rata itu menyerupai teknik struktur pohon pohon pohonUntuk menemukan frasa yang relevan hubungan dan makna tersembunyi melalui kejadian analisis semantik dari kata -kata dan frasa yang paling sering diekstraksi untuk mengungkapkan pengetahuan domain dari masing -masing kluster pekerjaan TI Hasilnya adalah analisis semantik yang sistematis dari profil pekerjaan TI yang terdiri dari bahasa pemrograman Tipe Tipe Khusus Bahasa KhususAlat Database dan Kerangka Kerja Pembenaran untuk Setiap Profil Pekerjaan divalidasi oleh Profisi Ion dari berbagai perusahaan swasta dan pemerintah di Indonesia melalui Discu Group FGD IEEE","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1","SDG1,SDG17"
"Interactions among Cold Surge, Cross-Equatorial Northerly Surge, and Borneo Vortex in influencing extreme rainfall during Madden–Julian oscillation over the Indonesia Maritime Continent","[{""Penulis"":""Trismidianto""},{""Penulis"":""Andarini, Dita Fatria""},{""Penulis"":""Muharsyah, Robi""},{""Penulis"":""Purwaningsih, Anis""},{""Penulis"":""Risyanto""},{""Penulis"":""Nauval, Fadli""},{""Penulis"":""Fathrio, Ibnu""},{""Penulis"":""Harjupa, Wendi""},{""Penulis"":""Nuryanto, Danang Eko""},{""Penulis"":""Harjana, Teguh""},{""Penulis"":""Satiadi, Didi""},{""Penulis"":""Saufina, Elfira""},{""Penulis"":""Praja, Alfan Sukmana""}]",Efek dari Cold Surge CS CRO CRO Equatorial Northerly Surge Sens dan Borneo Vortex BV pada curah hujan ekstrem di benua maritim Indonesia IMC selama musim hujan November Maret di bawah osilasi Madden Julian MJO yang aktif dan tidak aktif telah dievaluasi menggunakan data pengamatan dari stasiun cuaca dan gridded Julden MJO telah dievaluasi menggunakan data observasional dari stasiun cuaca dan gridded julian mjo telah dievaluasi menggunakan data observasional dari stasiun cuaca dan gridded julian mjoData GSMAP Hasil menunjukkan bahwa efek dari ketiga fenomena ini pada curah hujan ekstrem di IMC secara signifikan dimodulasi oleh kondisi MJO dengan besarnya dampak yang bervariasi di antara daerah -daerah analisis dilakukan dengan membagi menjadi tiga kelompok peristiwa tunggal peristiwa ganda dan tiga peristiwa ketika ketikaCS terjadi secara tunggal ada peningkatan PCE di sepanjang jalur CS dari Filipina Tenggara ketika MJO aktif dan sebaliknya ketika MJO tidak aktif namun ada peningkatan PCE di beberapa daerah lain di IMC ketika MJO tidak aktif pola peningkatan PCEKetika SENS lajang dalam MJO aktif hampir sama dengan selama MJO yang tidak aktif yaitu dari Pulau Jawa ke Nusa Tenggara dan di sepanjang Samudra Hindia di wilayah selatan Pulau Jawa namun intensitasnya lebih tinggi ketika MJO yang tidak aktif yang menunjukkan bahwa peran tersebutMJO adalah untuk mengurangi pengaruh SEN pada curah hujan ekstrem di daerah tersebut efek BV di Laut Cina Selatan pada curah hujan ekstrem lebih tinggi ketika MJO tidak aktif daripada MJO aktif karena peran MJO dalam mengurangi frekuensi peristiwa BV CS dan SENScenderung melemahkan efeknya pada curah hujan samudera ekstrem saling bertentangan namun mereka saling memperkuat pengaruh mereka di daratan ketika senstif MJO Sens dan BV saling menguatkan pengaruh satu sama lain pada lokasi satu sama lain ketika MJO aktif namun sebaliknya ketika MJO CS yang tidak aktifdan BV memperkuat pengaruh satu sama lain pada curah hujan yang ekstrem ketika mereka terjadi bersama ketika MJO aktif atau tidak aktif tetapi CS lebih cenderung memperkuat pengembangan BV MJO memiliki sifat melemahkan pengaruh CS Sens di sekitar Pulau Jawa danIMC Selatan Jika mereka terjadi bersama penulis di bawah lisensi eksklusif untuk Springer Verlag Gmbh Austria Bagian dari Springer Nature,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1","SDG1,SDG17"
