full_text,text_clean,class
"Soal pertemuan Ganjar dan Airlangga, tertutup. Seperti pertemuan yang tak penting. Magnet Ganjar dalam pertemuan-pertemuan seperti itu kalah jauh ketimbang Puan, apalagi Megawati. Bukan levelnya. Justru mulai beredar Airlangga akan di-Munaslub-kan. Penggantinya LBP pula.",soal temu airlangga tutup temu penting magnet temu temu kalah jauh ketimbang level mulai edar airlangga musyawarah nasional luar biasa ganti,2
"Meski sepi dari pemberitaan, sebetulnya Ganjar dan Airlangga Hartarto juga bertemu. Ada apa? Tapi, agaknya publik (media) lebih tertarik atas pemanggilan Airlangga di Kejagung. Airlangga tak hadir dan akan dipanggil lagi Senin depan. Berarti, masih jeda. Bakal ramai pekan depan.",sepi berita airlangga hartarto temu publik media tarik atas panggil airlangga jagung airlangga hadir panggil senin arti jeda bakal ramai pekan,0
@Gus_Raharjo @ganjarpranowo Kok hebat kali dia  seudelnya ganti Ganjar? Sekalian aja coblos Yohanis Yamani biar Jokodok tau rasa ...,hebat kali udel ganti coblos yohanis yamani jokodok tahu rasa,2
"@FadlyNajib @geloraco Bisa jadi, ganjar wapres",jadi wapres,0
1 Muharam bersama GANJAR https://t.co/NzIDJZ0AkV,muharam,1
@lek_brewok @Tan_Mar3M @Puspen_TNI Ada banyak foto ganjar nempel di tempat pendidikan dll tapi gk kalian protes juga...,foto nempel tempat didik lain protes,2
@ganjarpranowo Bsa kirim p ganjar di kandang anies &amp  wowo,kirim kandang wowo,0
"Jika dulu kita satu komando untuk pak Jokowi, kini kita satu komando untuk pak Ganjar.. Tetap memberikan data dan fakta, menyebarkan cinta keseluruh penjuru negeri, seperti yang pak Jokowi ajarkan. 🙏🙏. Relawan itu adalah kita. https://t.co/0UwOqM4GEA",satu komando satu komando tetap beri data fakta sebar cinta seluruh penjuru negeri ajar rawan,1
Selamat Pagi tuips...kira - kira pagi ini Ganjar sudahkah mandi Junub ?  https://t.co/az98Uk1jjA,selamat pagi tuips kira kira pagi mandi junub,2
@KompasTV Coba deklarasi ganjar dulu pak mungkin bulan depan surat pemeriksaannya diilangin sama umbi umbi kejaksaan,coba deklarasi bulan surat periksa diilangin umbi umbi jaksa,2
"@Leonita_Lestari akankah ada nantinya titik pertemuan capres cawapres Ganjar - Prabowo ? semoga saja, negara ini sudah capek bertikai antar penerus bangsa",titik temu capres cawapres moga negara cape tika terus bangsa,0
