text,target
RS HASAN SADIKIN BANDUNG ISOLASI PASIEN TERDUGA VIRUS CORONA,0
"SELEBARAN BERLOGO POLDA METRO JAYA : WASPADA PENCULIKAN ANAK 12 TAHUN, PELAKU MENYAMAR SEBAGAI BUMIL",1
"ARTI HURUF ARAB PADA BUKU IQRA 1, CORONA DICIPTAKAN PADA ZAMAN PENUH KEBOHONGAN",1
"CIPANAS (PUNCAK) BARU SAJA DILANDA BANJIR BANDANG, ALIRAN AIRNYA BISA MASUK JKT BESOK PAGI",1
"DITOLAK DI BERBAGAI NEGARA, RATUSAN TURIS CHINA DISAMBUT DI INONESIA",0
DUA LAKI-LAKI PENIPU MENCARI DANA PAKAI BAJU LAMBANG PANCASILA,1
KABAR PENEMUAN JENAZAH SISWA SEKOLAH DASAR DI KEMAYORAN,1
VIRAL BAYI USIA 2 BULAN DI SUKABUMI MENINGGAL DIDUGA KARENA IMUNISASI,0
APLIKASI WHATSAPP TELAH DIBLOKIR OLEH HACKER KELAS DUNIA BERINISIAL FFM,1
BIAYA TILANG TERBARU DI INDONESIA,1
"CORONA VIRUS UDAH NYAMPE KE BANDUNG, DI RSHS UDAH ADA 1 PASIEN YANG FIX CORONA VIRUS, 1 PASEIN SUSPECT",2
DUA ORANG KENAKAN BAJU BERLAMBANG PANCASILA LAKUKAN HIPNOTIS BERMODUS MINTA BANTUAN PEDULI PULAU SEBUKU,1
INFO KEPADA REKAN-REKAN : DI RSHS BANDUNG UDAH ADA PASIEN SUSPECT VIRUS CORONA RUJUKAN DARI RS CAHYA KAWALUYAAN,2
"PEMBERITAHUAN KEMENTERIAN KESEHATAN : VIRUS CORONA KALI INI SERIUS, JAGA TENGGOROKAN TETAP LEMBAB, MINUMLAH 50-80 CC AIR HANGAT, 30-50 CC UNTUK ANAK-ANAK",1
PENTING! KEMENKES RI SIAGAKAN 19 DAERAH WASPADA VIRUS CORONA,0
ADA 136 PASIEN DALAM PENGAWASAN VIRUS CORONA DI INDONESIA,2
HIMBAUAN DARI KBRI KL UNTUK TIDAK MENGKONSUMSI MAKANAN PRODUK CHINA,1
MARET 2020 AKAN ADA PEMBUATAN SIM KOLEKTIF DI SELURUH SAMSAT INDONESIA,1
PASIEN VIRUS CORONA DI APARTEMEN TAMAN ANGGREK,2
VIDEO WARGA CHINA IKUT SHALAT GARA-GARA VIRUS CORONA,1
INFORMASI UJI COBA TILANG ELEKTRONIK DI BOGOR,1
PINGGIR TOL CIPULARANG KM 118 KEMBALI LONGSOR,0
"INFO DARI DUBES KBRI : JANGAN MAKAN DULU PRODUKSI NEGERI CINA, PEKERJA PABRIKNYA PENGIDAP VIRUS CARONA",1
"KOMPAS TV MENYIARKAN 5 PASIEN VIRUS CORONA DI SEMARANG, 1 ORANG MENINGGAL",1
FOTO SEORANG ANAK LAKI-LAKI YANG TAMPAK SEDANG DIMANDIKAN DENGAN BEKAS JAHITAN DIBAGIAN PERUT BAWAH HINGGA BAGIAN DADA,1
"HINDARI PENYEBARAN VIRUS, TIONGKOK MINTA PERSETUJUAN PENGADILAN UNTUK MEMBUNUH LEBIH DARI 20.000 PASIEN CORONAVIRUS",1
INFO PEMBUATAN SIM KOLEKTIF,1
MINYAK MASAK JENAMA ASRI ADALAH PRODUK SYARIKAT LEONG HUP PENTERNAK BABI TERBESAR DI MELAKA MALAYSIA,1
MINYAK MASAK JENAMA ASRI MILIK SYARIKAT LEONG HUP PENTERNAK BABI TERBESAR DI MELAKA,1
TUJUH PENUMPANG LION AIR RUTE TIONGKOK - MANADO TERINFEKSI VIRUS CORONA,2
"PUKUL 23.00 WIB MALAM INI, PESAWAT HELIKOPTER MALAYSIA DAN SINGAPURA AKAN SEMPROTKAN RACUN PEMBASMI CORONA COVID-19",1
ALAMAT PASIEN POSITIF CORONA YANG MENINGGAL DI RSHS,2
"RIDWAN KAMIL : 30 MARET - 20 APRIL 2020 AREA BANDUNG, CIMAHI, CIBIRU, CILEUNYI, LEMBANG AKAN LOCKDOWN",1
FOTO PASIEN POSITIF CORONA YANG KABUR DARI RUMAH SAKIT ADALAH DRIVER GOJEK,2
"VOICE NOTE : RSHS BANDUNG TANGANI RESIDEN ANESTESI YANG MENINGGAL DUNIA, DUA ORANG DIISOLASI DAN LIMA ORANG BERSTATUS SUSPECT COVID-19",1
PESAN LARANGAN KELUAR RUMAH AKIBAT PUNCAK INKUBASI CORONA COVID-19,1
CHINA BERHASIL CIPTAKAN VAKSIN COVID-19 DAN SIAP DI PRODUKSI MASSAL,0
VIRUS BARU YAITU VIRUS HANTA MUNCUL DI CHINA,0
PESAN BERANTAI TENTANG PUNCAK PENYEBARAN CORONA,1
VOICE NOTE YANG MENGATASNAMAKAN RSHS TENTANG REDZONE DAN PASIEN DI RSHS,1
"TERUNGKAP, 238 WNI DARI WUHAN TAK DI TES VIRUS CORONA, ALATNYA MAHAL",0
DUA ORANG POSITIF VIRUS CORONA DI INDONESIA,0
PEMERINTAH MEMPERPANJANG STATUS DARURAT BENCANA COVID-19 HINGGA 29 MEI,0
"SEMUA MASYARAKAT YANG PUNYA E-KTP, MULAI 28 MARET BERHAK MENDAPAT KONPENSASI SEJUMLAH RP. 1.250.000",2
UTUSAN RIDWAN KAMIL AKAN MELAKUKAN LOCKDOWN DI KOTA BANDUNG,1
ANGIN DARI UTARA KE SELATAN MEMBAWA WABAH PENYAKIT MELEWATI INDONESIA MENUJU AUSTRALIA,1
PESAN BERANTAI HASIL RAPAT DENGAN DINAS INDAG KOTA BANDUNG TENTANG INFO PSBB DI BANDUNG RAYA,2
