id,kode_provinsi,nama_provinsi,kode_bulan,nama_bulan,kanal,jumlah_laporan,satuan,tahun
1,32,JAWA BARAT,11,NOVEMBER,WHATSAPP,1,ADUAN/PEMANTAUAN,2020
2,32,JAWA BARAT,11,NOVEMBER,INSTAGRAM,0,ADUAN/PEMANTAUAN,2020
3,32,JAWA BARAT,11,NOVEMBER,FACEBOOK,0,ADUAN/PEMANTAUAN,2020
4,32,JAWA BARAT,11,NOVEMBER,TWITTER,0,ADUAN/PEMANTAUAN,2020
5,32,JAWA BARAT,11,NOVEMBER,LINE,0,ADUAN/PEMANTAUAN,2020
6,32,JAWA BARAT,11,NOVEMBER,WEBSITE,0,ADUAN/PEMANTAUAN,2020
7,32,JAWA BARAT,12,DESEMBER,WHATSAPP,4,ADUAN/PEMANTAUAN,2020
8,32,JAWA BARAT,12,DESEMBER,INSTAGRAM,0,ADUAN/PEMANTAUAN,2020
9,32,JAWA BARAT,12,DESEMBER,FACEBOOK,0,ADUAN/PEMANTAUAN,2020
10,32,JAWA BARAT,12,DESEMBER,TWITTER,0,ADUAN/PEMANTAUAN,2020
11,32,JAWA BARAT,12,DESEMBER,LINE,0,ADUAN/PEMANTAUAN,2020
12,32,JAWA BARAT,12,DESEMBER,WEBSITE,0,ADUAN/PEMANTAUAN,2020
13,32,JAWA BARAT,1,JANUARI,WHATSAPP,45,ADUAN/PEMANTAUAN,2021
14,32,JAWA BARAT,1,JANUARI,INSTAGRAM,35,ADUAN/PEMANTAUAN,2021
15,32,JAWA BARAT,1,JANUARI,FACEBOOK,13,ADUAN/PEMANTAUAN,2021
16,32,JAWA BARAT,1,JANUARI,TWITTER,1,ADUAN/PEMANTAUAN,2021
17,32,JAWA BARAT,1,JANUARI,LINE,0,ADUAN/PEMANTAUAN,2021
18,32,JAWA BARAT,1,JANUARI,WEBSITE,8,ADUAN/PEMANTAUAN,2021
19,32,JAWA BARAT,2,FEBRUARI,WHATSAPP,3,ADUAN/PEMANTAUAN,2021
20,32,JAWA BARAT,2,FEBRUARI,INSTAGRAM,7,ADUAN/PEMANTAUAN,2021
21,32,JAWA BARAT,2,FEBRUARI,FACEBOOK,13,ADUAN/PEMANTAUAN,2021
22,32,JAWA BARAT,2,FEBRUARI,TWITTER,4,ADUAN/PEMANTAUAN,2021
23,32,JAWA BARAT,2,FEBRUARI,LINE,0,ADUAN/PEMANTAUAN,2021
24,32,JAWA BARAT,2,FEBRUARI,WEBSITE,0,ADUAN/PEMANTAUAN,2021
25,32,JAWA BARAT,3,MARET,WHATSAPP,15,ADUAN/PEMANTAUAN,2021
26,32,JAWA BARAT,3,MARET,INSTAGRAM,23,ADUAN/PEMANTAUAN,2021
27,32,JAWA BARAT,3,MARET,FACEBOOK,8,ADUAN/PEMANTAUAN,2021
28,32,JAWA BARAT,3,MARET,TWITTER,1,ADUAN/PEMANTAUAN,2021
29,32,JAWA BARAT,3,MARET,LINE,0,ADUAN/PEMANTAUAN,2021
30,32,JAWA BARAT,3,MARET,WEBSITE,2,ADUAN/PEMANTAUAN,2021
31,32,JAWA BARAT,4,APRIL,WHATSAPP,6,ADUAN/PEMANTAUAN,2021
32,32,JAWA BARAT,4,APRIL,INSTAGRAM,8,ADUAN/PEMANTAUAN,2021
33,32,JAWA BARAT,4,APRIL,FACEBOOK,0,ADUAN/PEMANTAUAN,2021
34,32,JAWA BARAT,4,APRIL,TWITTER,1,ADUAN/PEMANTAUAN,2021
35,32,JAWA BARAT,4,APRIL,LINE,0,ADUAN/PEMANTAUAN,2021
36,32,JAWA BARAT,4,APRIL,WEBSITE,20,ADUAN/PEMANTAUAN,2021
37,32,JAWA BARAT,5,MEI,WHATSAPP,7,ADUAN/PEMANTAUAN,2021
38,32,JAWA BARAT,5,MEI,INSTAGRAM,12,ADUAN/PEMANTAUAN,2021
39,32,JAWA BARAT,5,MEI,FACEBOOK,1,ADUAN/PEMANTAUAN,2021
40,32,JAWA BARAT,5,MEI,TWITTER,0,ADUAN/PEMANTAUAN,2021
41,32,JAWA BARAT,5,MEI,LINE,0,ADUAN/PEMANTAUAN,2021
42,32,JAWA BARAT,5,MEI,WEBSITE,17,ADUAN/PEMANTAUAN,2021
43,32,JAWA BARAT,6,JUNI,WHATSAPP,20,ADUAN/PEMANTAUAN,2021
44,32,JAWA BARAT,6,JUNI,INSTAGRAM,23,ADUAN/PEMANTAUAN,2021
45,32,JAWA BARAT,6,JUNI,FACEBOOK,11,ADUAN/PEMANTAUAN,2021
46,32,JAWA BARAT,6,JUNI,TWITTER,2,ADUAN/PEMANTAUAN,2021
47,32,JAWA BARAT,6,JUNI,LINE,0,ADUAN/PEMANTAUAN,2021
48,32,JAWA BARAT,6,JUNI,WEBSITE,4,ADUAN/PEMANTAUAN,2021
49,32,JAWA BARAT,7,JULI,WHATSAPP,3,ADUAN/PEMANTAUAN,2021
50,32,JAWA BARAT,7,JULI,INSTAGRAM,2,ADUAN/PEMANTAUAN,2021
51,32,JAWA BARAT,7,JULI,FACEBOOK,0,ADUAN/PEMANTAUAN,2021
52,32,JAWA BARAT,7,JULI,TWITTER,2,ADUAN/PEMANTAUAN,2021
53,32,JAWA BARAT,7,JULI,LINE,0,ADUAN/PEMANTAUAN,2021
54,32,JAWA BARAT,7,JULI,WEBSITE,0,ADUAN/PEMANTAUAN,2021
