title,link,date,content,is_fake,media_bias
Harimau Mati Tertabrak Kendaraan di Tol Pekanbaru-Dumai,https://www.kompas.com/cekfakta/read/2024/05/18/144100582/-hoaks-harimau-mati-tertabrak-kendaraan-di-tol-pekanbaru-dumai,2024-05-18,"Berdasarkan verifikasi Kompas.com sejauh ini, informasi ini tidak benar.KOMPAS.com - Beredar video yang mengeklaim seekor harimau sumatera mati tertabrak kendaraan di jalan tol Pekanbaru-Dumai, Riau.Namun, setelah ditelusuri, narasi tersebut tidak benar.Video yang mengeklaim seekor harimau sumatera mati tertabrak kendaraan di tol Pekanbaru-Dumai dibagikan oleh akun Facebook ini, ini, dan ini.Akun tersebut membagikan video seekor harimau tergeletak di jalan. Salah satu akun menuliskan keterangan demikian:Harimau Sumatera Tertabrak di Tol Dumai Pekanbaru Ruas Minas#satwaliar #harimau #harimausumatera #satwadilindungiAkun Facebook Tangkapan layar Facebook, narasi yang mengeklaim seekor harimau mati tertabrak kendaraan di jalan tol Pekanbaru-DumaiDikutip dari laman Mediacenter.riau.go.id, video harimau mati bukan berlokasi di ruas Tol Pekanbaru-Dumai.Hal ini disampaikan oleh Manajer Cabang Tol Pekanbaru-Dumai, Jarot Seno Wibawa.""Itu bukan di Tol Permai (Pekanbaru-Dumai) atau pun Tol Pekanbaru-Bangkinang. Kami pastikan tidak benar,"" kata Jarot, dikutip pada Sabtu (18/5/2024).Menurut Jarot, pihaknya sudah mengecek dan tidak ada kejadian seekor harimau tertabrak di jalan tol. ""Yang jelas kita sudah cek semuanya. Dari petugas kita di lapangan juga sudah melaporkan tidak ada kejadian seperti disebutkan ada seekor harimau mati tertabrak di tol,"" kata dia.Penelusuran lebih lanjut, Tim Cek Fakta Kompas.com menemukan video serupa di akun TikTok media asal Malaysia, Sinar Harian ini.Berdasarkan keterangan unggahan, kejadian itu terjadi di Lebuhraya Pantai Timur (LPT) kilometer 50.8 arah Kuala Lumpur, pada Kamis (16/05/2024).Harimau jantan dengan berat 130 kilogram mati karena tertabrak kendaraan.Kepala Departemen Perlindungan Satwa Liar dan Taman Nasional Pahang, Rozidan Md Yasin menjelaskan, peristiwa terjadi sekitar pukul 01.23 dini hari.""Berdasarkan perkiraan awal, hewan itu berasal dari hutan lindung di Bukit Tinggi,"" tutur dia. Video seekor harimau mati tertabrak kendaraan bukan berlokasi di Tol Pekanbaru-Dumai.Peristiwa itu terjadi di Lebuhraya Pantai Timur (LPT), Kilometer 50.8 arah Kuala Lumpur, pada Kamis (16/05/2024).",1,netral
Mantan PM Jepang Dibunuh karena Tidak Patuh pada WEF,https://www.kompas.com/cekfakta/read/2024/05/18/101100882/-hoaks-mantan-pm-jepang-dibunuh-karena-tidak-patuh-pada-wef,2024-05-18,"Berdasarkan verifikasi Kompas.com sejauh ini, informasi ini tidak benar.KOMPAS.com - Tersiar klaim bahwa mantan Perdana Menteri (PM) Jepang Shinzo Abe dibunuh karena tidak mematuhi perintah Forum Ekonomi Dunia atau World Economic Forum (WEF).Narasi yang beredar mengaitkan dengan 1,6 juta dosis vaksin yang dikembalikan dan tidak adanya wajib vaksinasi Covid-19 di Jepang.Berdasarkan penelusuran Tim Cek Fakta Kompas.com, narasi itu tidak benar atau hoaks.Narasi mengenai mantan PM Jepang Shinzo Abe dibunuh karena tidak mematuhi perintah WEF disebarkan oleh akun Facebook ini, pada Kamis (16/5/2024).Berikut narasi yang ditulis:Perdana Menteri Jepang yang dibunuh. Apakah juga karena menentang agenda kaum Illuminati Zionis?Ditemukan unggahan serupa berbahasa Inggris, yang disebarkan oleh akun Facebook ini, ini, dan ini.Setiap pengunggah menyertakan poster berisi foto Shinzo Abe, disertai tulisan berikut dalam terjemahan bahasa Indonesia:PM Jepang yang terbunuh tidak mengikuti perintah (Forum Ekonomi Dunia),” kata postingan tanggal 10 Juli tersebut. ""Tidak mewajibkan vaksin, mengirimkan kembali 1,6 juta dosis dan memberikan ivermectin kepada warga. Masuk akal sekarang?WEF kerap menjadi sasaran penyebaran disinformasi dan teori konspirasi. Namun, klaim yang menyebut Abe Shinzo dibunuh karena tidak mematuhi WEF tidak berdasar.Mantan PM Jepang Shinzo Abe meninggal dunia karena ditembak saat menyampaikan pidato di Nara, Jepang, pada 8 Juli 2022 pagi.Pelakunya adalah Tetsuya Yamagami. Berdasarkan laporan BBC, pembunuhan dilatarbelakangi oleh hubungan Shinzo Abe dengan kelompok agama tertentu.Kelompok agama ini membuat ibu Yamagami kehilangan ratusan juta Yen dan berdampak pada kondisi sosial ekonomi anaknya.Kematian Abe tidak ada kaitannya dengan program vaksinasi Covid-19 di Jepang.Pemerintah Jepang memang tidak mewajibkan vaksinasi Covid-19. Kendati demikian, Jepang tidak pernah menghentikan program vaksinasi.",1,netral
Prabowo-Gibran Batal Dilantik oleh MPR,https://www.kompas.com/cekfakta/read/2024/05/18/084500682/-hoaks-prabowo-gibran-batal-dilantik-oleh-mpr,2024-05-18,"Berdasarkan verifikasi Kompas.com sejauh ini, informasi ini tidak benar.KOMPAS.com - Beredar narasi bahwa presiden dan wakil presiden terpilih, Prabowo Subianto-Gibran Rakabuming Raka batal dilantik.Pembatalan itu merupakan keputusan Majelis Permusyawaratan Rakyat (MPR) berdasarkan rekomendasi Pengadilan Tata Usaha Negara (PTUN).Namun, setelah ditelusuri, narasi tersebut tidak benar atau hoaks.Narasi soal Prabowo-Gibran batal dilantik oleh MPR dibagikan oleh akun Facebook ini. Akun tersebut membagikan tautan di kanal YouTube ini pada 15 Mei 2024 dengan judul:DHUAARR J0K0WI PUCAT??MPR KELUARKAN PUTUSAN,SEPAKAT UNTUK TIDAK MELANTIK PRABOWO-GIBRANKemudian pada thumbnail video terdapat keterangan demikian:KABAR MENGGEMPARKAN. PRABOWO BATAL DILANTIK. MPR SEPAKAT ATAS REKOMENDASI PTUN. Setelah video disimak sampai tuntas, narator lebih banyak membahas soal permintaan Partai Demokrasi Indonesia Perjuangan (PDI-P) kepada MPR untuk menunda pelantikan Prabowo-Gibran.Setelah Pemilihan Presiden (Pilpres) 2024, PDI-P menggugat Komisi Pemilihan Umum (KPU) ke Pengadilan Tata Usaha Negara (PTUN).Gugatan diajukan karena KPU dianggap telah melakukan perbuatan melawan hukum dalam proses penyelenggaraan Pilpres 2024.Sementara, dilansir Kompas.id, Ketua MPR Bambang Soesatyo mengatakan, pelantikan presiden dan wakil presiden terpilih sulit untuk dijegal karena tahapan Pemilu 2024 sudah selesai.Selain itu, Mahkamah Konstitusi (MK) telah mengukuhkan kemenangan Prabowo-Gibran sebagai presiden-wakil presiden terpilih.Menurut Bambang, tahapan selanjutnya yakni pelantikan presiden dan wakil presiden terpilih sebagaimana diatur dalam Pasal 9 UUD 1945. ”Aturan di dalam UUD 1945 yang memuat soal pelantikan presiden dan wapres sudah sangat jelas. Jadi, tidak ada celah untuk menunda atau membatalkan pelantikan Prabowo-Gibran,” ujar Bambang.",1,netral
Foto Ular Raksasa di Carolina Selatan,https://www.kompas.com/cekfakta/read/2024/05/17/185500182/-hoaks-foto-ular-raksasa-di-carolina-selatan,2024-05-17,"Berdasarkan verifikasi Kompas.com sejauh ini, informasi ini tidak benar.KOMPAS.com - Beredar foto ular raksasa yang diklaim ditemukan di Carolina Selatan, Amerika Serikat (AS).Foto itu menampilkan ular anaconda berada di tengah kerumunan orang.Berdasarkan penelusuran Tim Cek Fakta Kompas.com, foto tersebut merupakan manipulasi dan dikategorikan hoaks.Foto ular anaconda raksasa di Carolina Selatan disebarkan oleh akun Threads ini dan ini.Berikut narasi yang ditulis salah satu akun pada Jumat (10/5/2024):‘Sungguh binatang buas!’ Seekor ular besar ditemukan oleh seorang pejalan kaki di dekat sungai Carolina Selatan - Periksa komentarnya!Pada bagian kolom komentar pengunggah menyertakan tautan dari Allchronology.com.Foto serupa ditemukan di akun Facebook ini dan ini. Pada kolom komentar, pengunggah memberikan tautan dari Lifepress.info.Tim Cek Fakta Kompas.com menggunakan metode reverse image search untuk menelusuri rekam jejak foto.Hasil pencarian di Yandex mengarahkan ke situs berbagi gambar Wallpapercosmos.com yang menampilkan anaconda hijau atau Eunectes murinus.Foto serupa juga ditemukan di National Geographic. Foto anaconda hijau dipotret oleh Ed George.Anaconda hijau merupakan jenis ular terberat di dunia.Hewan melata dalam foto memiliki berat 550 pon atau sekitar 249 kilogram dengan panjang sekitar 20-30 kaki atau 6-9 meter.Apabila dibandingkan, gambar yang beredar merupakan hasil rekayasa dari foto anaconda hijau.Terlihat bagian depan ular sama persis, tetapi ekornya diedit seolah-olah ular tersebut tampak lebih panjang.Sementara, tautan yang disebarkan melalui kolom komentar tidak memiliki tanggal, lokasi, dan detail peristiwa yang jelas.Berdasarkan hasil pencarian di Google, tidak ada peristiwa penemuan ular raksasa di Carolina Selatan dalam sebulan terakhir.Foto ular anaconda raksasa di Carolina Selatan merupakan hoaks.Foto anaconda hijau yang dipotret oleh Ed George dimanipulasi, kemudian dinarasikan sebagai penemuan ular di Carolina Selatan.",1,netral
Warga Rafah Bikin Video Rekayasa Serangan Israel,https://www.kompas.com/cekfakta/read/2024/05/17/174500082/-hoaks-warga-rafah-bikin-video-rekayasa-serangan-israel,2024-05-17,"Berdasarkan verifikasi Kompas.com sejauh ini, informasi ini tidak benar.KOMPAS.com - Sebuah konten mengeklaim warga Rafah, Jalur Gaza, Palestina, membuat video rekayasa yang seolah-olah menunjukkan serangan Israel di wilayah tersebut.Berdasarkan penelusuran Tim Cek Fakta Kompas.com, konten tersebut hoaks. Rafah benar-benar digempur militer Israel dan menyebabkan ratusan ribu warganya mengungsi.Sementara, video yang dimuat konten itu adalah behind the scene dari serial drama yang ditayangkan pada Maret 2024.Sebagai konteks, konflik Israel-Palestina yang berlangsung selama puluhan tahun kembali memanas setelah Israel menggempur wilayah Gaza pada Oktober 2023.Serangan tersebut merupakan balasan terhadap tindakan kelompok Hamas yang menginfiltrasi dan menyandera warga Israel pada 7 Oktober 2023.Israel memperluas serangan di Jalur Gaza dengan menggempur Rafah yang dihuni oleh ratusan ribu pengungsi.Konten yang mengeklaim warga Rafah membuat video rekayasa serangan Israel dibagikan oleh akun Facebook ini dan ini pada 7 Mei 2024.Berikut narasi yang dibagikan:Rafah actors are preparing, and we may soon witness disturbing footage from Rafah.… (Para aktor Rafah sedang bersiap-siap, dan kita mungkin akan segera menyaksikan rekaman yang mengganggu dari Rafah....).Dalam video itu tampak seorang pria berbaring di atas tandu dan seorang perempuan merias bagian dada serta lehernya.Kemudian, ada seorang pria lainnya duduk di semacam kantong mayat sambil merokok.Dilansir Full Fact, video yang diklaim sebagai rekayasa warga Rafah adalah cuplikan behind the scene dari serial drama Palestina, berjudul Bleeding Dirt.Serial yang ditayangkan di YouTube pada 12 Maret 2024 tersebut tidak terkait dengan serangan militer Israel di Rafah.Menurut pemeriksa fakta Palestina, Kashif, serial tersebut difilmkan di sebuah kota dekat Nablus, Tepi Barat, bukan di Rafah, Gaza.Sementara, media pemeriksa fakta Check Your Fact menemukan klip proses rias aktor Bleeding Dirt di kanal YouTube Bashar Al-Najjar, sutradara serial tersebut.Berdasarkan penelusuran Tim Cek Fakta Kompas.com, konten yang mengeklaim warga Rafah membuat video rekayasa serangan Israel adalah hoaks.Video yang diklaim sebagai rekayasa warga Rafah adalah cuplikan behind the scene serial drama Palestina, berjudul Bleeding Dirt. Serial itu tayang di YouTube pada 12 Maret 2024.",1,netral
Presiden FIFA Minta Laga Indonesia Vs Guinea Diulang,https://www.kompas.com/cekfakta/read/2024/05/17/164000682/-hoaks-presiden-fifa-minta-laga-indonesia-vs-guinea-diulang,2024-05-17,"Berdasarkan verifikasi Kompas.com sejauh ini, informasi ini tidak benar.KOMPAS.com - Presiden Federasi Asosiasi Sepak Bola Dunia (FIFA) Gianni Infantino diklaim meminta laga play-off Olimpiade Paris 2024 antara Indonesia melawan Guinea diulang.Dalam sebuah unggahan disebutkan, Gianni menilai ada keputusan wasit yang aneh.Namun, setelah ditelusuri, narasi tersebut tidak benar atau hoaks.Adapun timnas Indonesia tumbang dari Guinea dengan skor 1-0, pada Kamis (9/5/2024). Gol tunggal Guinea diciptakan Ilaix Moriba lewat tendangan penalti. Narasi soal Gianni Infantino meminta laga Indonesia melawan Guinea diulang dibagikan akun Instagram ini.Akun tersebut membagikan video pada 10 Mei 2024 dengan keterangan demikian:Merasa ada yang aneh dengan keputusan wasit,Presiden FIFA meminta pertandingan Indonesia u23 vs guine u23 diulang.PRESIDEN FIFA GIANNI INFANTINO LANGSUNG MEMBERI TANGGAPAN SETELAH GUINEA MENJEBOL GAWANG INDONESIA LEWAT ADU PENALTI YANG UCAPNYA TIDAK SAH.Akun Instagram Tangkapan layar Instagram, narasi yang mengeklaim Infantino meminta laga Indonesia melawan Guinea diulangTim Cek Fakta Kompas.com tidak menemukan informasi valid soal permintaan Infantino agar laga Indonesia melawan Guinea diulang.Seusai laga, Infantino memberikan apresiasi kepada anak asuh Shin Tae-yong.Ia menonton langsung pertandingan itu bersama Ketua Umum PSSI Erick Thohir dan Ketua Umum Federasi Guinea Aboubacar Sampil.Melalui unggahan di akun Instagramnya, pada 10 Mei 2024, Infantino berpesan kepada pendukung Indonesia untuk tetap bangga atas pencapaian timnas.""Pesan saya untuk semua pencinta sepak bola di Indonesia adalah berbanggalah kepada tim kalian, Tetap dukung mereka dengan hasrat sama karena kalian bergerak ke arah yang benar,"" ujar Infantino. Ia juga mengucapkan terimakasih kepada PSSI di bawah kepemimpinan Erick Thohir atas pekerjaan yang dianggap luar biasa selama ini.Sementara, Guinea telah dipastikan tampil di Olimpiade Paris 2024.",1,netral
Undian Berhadiah 30 Motor dalam Rangka Ulang Tahun,https://www.kompas.com/cekfakta/read/2024/05/17/153500782/-hoaks-undian-berhadiah-30-motor-dalam-rangka-ulang-tahun,2024-05-17,"Berdasarkan verifikasi Kompas.com sejauh ini, informasi ini tidak benar.KOMPAS.com - Beredar penawaran undian berhadiah 30 unit motor di Facebook dalam rangka ulang tahun Yamaha.Pengguna Facebook diminta untuk membalas unggahan Facebook paling lambat 25 Mei 2024 untuk mengikuti undian.Hingga Jumat (17/5/2024), unggahan tersebut mendapat lebih dari 3.900 komentar, 5.100 kali dibagikan, dan 705 like.Berdasarkan hasil penelusuran Tim Cek Fakta Kompas.com, undian berhadiah itu tidak benar atau hoaks.Informasi soal undian berhadiah motor dalam rangka ulang tahun Yamaha disebarkan oleh akun Facebook dengan nama PStore Pusat, pada Jumat (10/5/2024). Arsipnya dapat dilihat di sini.Berikut narasi yang ditulis:Untuk MENYAMBUT Ulang Tahun @YAMAHA mimin mau BAGI BAGI HADIAH, tim @Yamah mengirimkan 30 unit motor Yamaha NMX Baru secara GRATIS, kepada semua orang yang menulis "" selamat ulang tahun "" PALING LAMBAT sampai 25 mei 2024 . Semoga Beruntung.Akun Facebook yang menyebarkan informasi undian berhadiah bukan akun resmi Yamaha Motor Indonesia.Akun Facebook resmi Yamaha Motor Indonesia memiliki centang biru yang menandakan telah terverifikasi.Selain itu, tidak terdapat informasi soal undian berhadiah 30 motor pada situs resmi Yamaha Motor Indonesia.Akun media sosial Yamaha Indonesia lainnya, seperti Instagram, X, dan YouTube juga tidak memuat informasi apa pun mengenai undian berhadiah 30 motor.Setelah diamati, akun PStore Pusat tidak memiliki deskripsi dan keterangan yang jelas, serta hanya terdapat dua unggahan.Pengguna Facebook yang memberikan komentar untuk mengikuti undian itu mendapat balasan serupa, seolah-olah dikirim secara otomatis.Pengguna Facebook diminta untuk mengecek pesan langsung yang masuk.Namun, ketika pengguna menanyakan kelanjutan program undian berhadiah, PStore Pusat membalas dengan pesan yang sama.Adapun nama PStore sekilas mirip dengan gerai ritel PS Store yang pernah terjerat tindak pidana kepabeanan karena menjual ponsel ilegal.Pemilik PS Store merupakan pria asal Kota Batam bernama Putra Siregar. Seperti diberitakan Kompas.com, 28 Juli 2020, Putra Siregar telah ditetapkan sebagai tersangka.Tawaran undian berhadiah 30 unit motor dalam rangka ulang tahun Yamaha di Facebook merupakan hoaks.Akun yang menginformasikan undian berhadiah bukan akun resmi Yamaha Motor Indonesia. Tidak ada informasi soal undian berhadiah di media sosial dan situs resmi Yamaha Indonesia.",1,netral
Video Wawancara Raffi Ahmad soal Situs Judi,https://www.kompas.com/cekfakta/read/2024/05/17/143000982/-hoaks-video-wawancara-raffi-ahmad-soal-situs-judi,2024-05-17,"Berdasarkan verifikasi Kompas.com sejauh ini, informasi ini tidak benar.KOMPAS.com - Beredar video wawancara selebritas Raffi Ahmad mengenai judi daring atau online.Dalam video, Raffi disebut sebagai pemilik situs judi dan ia menjelaskan cara mendaftar di situs tersebut.Namun, setelah ditelusuri, video tersebut merupakan hasil manipulasi.Video wawancara Raffi Ahmad mengenai situs judi dibagikan oleh akun Facebook ini.Akun tersebut membagikan video seorang presenter televisi mewawancarai Raffi Ahmad. Video itu diberikan keterangan demikian:RAFFI AHMAD BERBAGI UANG MELALUI SCATTER HITAMFENOMENA TURUN SCATTER HITAM HANYA DI MARJAN 898Akun Facebook Tangkapan layar Facebook narasi yang menyebut Raffi Ahmad diwawancarai terkait situs judiVideo tersebut diduga manipulasi karena terdapat sejumlah kejanggalan, antara lain, suara presenter dan Raffi tidak sesuai dengan gerak bibirnya. Setelah ditelusuri, konten tersebut menggabungkan dua klip yang berbeda.Klip yang menampilkan presenter televisi identik dengan unggahan di kanal YouTube BeritaSatu ini. Video itu mencuplik klip pada menit ke-1 detik ke-34.Dalam video asli, presenter membacakan berita mengenai Komandan Rayon Militer (Danramil) 1703-04/Aradide Letnan Dua (Inf) Oktovianus Sogarlay yang tewas ditembak pasukan Tentara Pembebasan Nasional Papua Barat-Organisasi Papua Merdeka (OPM).Sementara, klip yang menampilkan Raffi identik dengan unggahan di akun Instagram @raffinagita1717. Dalam video aslinya, Raffi mengatakan, akan memberikan hadiah pada Oktober 2023.Adapun konten promosi situs judi di media sosial kerap mencatut atau memanipulasi video Raffi Ahmad. Hasil penelusuran Tim Cek Fakta Kompas.com dapat dibaca di sini dan di sini.Video wawancara Raffi Ahmad mengenai judi online merupakan manipulasi. Konten tersebut menggabungkan dua klip berbeda yang tidak terkait situs judi.Sementara, suara Raffi kemungkinan besar merupakan rekayasa menggunakan kecerdasan buatan atau artificial intelligence (AI).",1,netral
Video Ustaz Solmed Promosikan Situs Judi,https://www.kompas.com/cekfakta/read/2024/05/17/133100382/-hoaks-video-ustaz-solmed-promosikan-situs-judi,2024-05-17,"Berdasarkan verifikasi Kompas.com sejauh ini, informasi ini tidak benar.KOMPAS.com - Beredar video penceramah Sholeh Mahmoed Nasution atau Ustaz Solmed mempromosikan situs judi.Berdasarkan penelusuran Tim Cek Fakta Kompas.com, video tersebut merupakan hasil manipulasi.Suara Sholeh dalam video kemungkinan direkayasa menggunakan perangkat kecerdasan buatan atau artificial intelligence (AI).Video Sholeh Mahmoed mempromosikan judi daring atau online dibagikan oleh akun Facebook ini pada 23 Februari 2024.Berikut narasi yang dibagikan:ustaz haji solmed bergabung dengan koh dennis lim dan felix siauw di MASHOKIDalam video, Sholeh mengatakan, telah bergabung di sebuah situs judi bersama penceramah Felix Siauw dan Dennis Lim untuk membagikan rezeki.Video Sholeh Mahmoed dalam konten tersebut berasal dari program ""Hot Shot"" yang ditayangkan stasiun televisi SCTV dan diunggah di platform Vidio.com, pada 31 Januari 2024.Dalam video asli, Sholeh membicarakan tentang sumber kekayaannya yang berasal dari bisnis rokok, kopi, susu almond, jamu, jual-beli tanah, properti, dan kafe.Sholeh tidak menyebutkan soal bergabung ke situs judi.Perbedaan antara pernyataan Sholeh dalam video di Facebook dengan video asli mengindikasikan konten tersebut merupakan hasil manipulasi.Lantas, Tim Cek Fakta Kompas.com mengecek video Sholeh mempromosikan situs judi menggunakan perangkat AI Voice Detector.Hasilnya, suara Sholeh mempromosikan situs judi terdeteksi memiliki probabilitas 80,89 persen dihasilkan oleh AI.Berdasarkan penelusuran Tim Cek Fakta Kompas.com, video Sholeh Mahmoed mempromosikan situs judi merupakan manipulasi.Dalam video asli, Sholeh membicarakan tentang sumber kekayaannya dari berbagai bisnis, bukan situs judi.Setelah ditelusuri, probabilitas suara Sholeh mempromosikan judi online dibuat oleh AI mencapai 80,89 persen.",1,netral
title,link,date,content,is_fake,media_bias
