gabung,bias,pro_anti
cnn prabowo subianto temu jokowi istana sore,0,0
cnn klaim pkb jakarta warga komplain tinggal anies,0,0
cnn dpr selingkuh hakim bal kecewa cuek ma,0,1
cnn gibran maaf bagi buku sampul jan ethes,0,0
cnn habiburokhman marah sekjen mk rapat komisi iii dpr,0,0
cnn pkb dki usung anies maju pilgub jakarta kaesang duet,0,0
cnn muhammadiyah sorot revisi uu tni polri ingat buruk uu kpk,0,0
cnn komisi dpr kemenhan gelar rapat tutup prabowo absen,0,1
cnn majelis rakyat papua mekar kabupaten jokowi,0,0
cnn pdip dukung revisi uu tni usia pensiun,0,1
cnn dpr heran komnas ham rp renovasi banding polsek rp,0,0
cnn ramai isu dwi kewarganegaraan yasonna tiru skema oci india,0,1
cnn habib gerindra sentil mahfud vina komentar,0,0
cnn komnas ham anggar rp rp kawal ikn,0,0
cnn pdip usung anies pilgub jakarta,0,0
cnn pdip kalkulasi kawin politik usung anies pilgub jakarta,0,1
cnn anggota dpr fraksi pdip usul bentuk mahkamah pancasila,0,1
cnn mahfud md investor asing masuk ikn cari mas bahlil,0,1
cnn habib luthfi hadap jokowi istana urus parpol,0,1
cnn gerindra respons kader komisaris bumn bagi,0,0
cnn prabowo subianto temu jokowi istana sore,0,0
cnn klaim pkb jakarta warga komplain tinggal anies,0,1
cnn dpr selingkuh hakim bal kecewa cuek ma,0,0
cnn gibran maaf bagi buku sampul jan ethes,0,1
cnn habiburokhman marah sekjen mk rapat komisi iii dpr,0,1
