gabung,bias,pro_anti
kompas jokowi seru rang judi online bentuk satgas,0,0
kompas megawati buku pdi sita sidik kpk isi,0,0
kompas manuver pkb pilkada jakarta dukung ahok dukung anies,0,1
kompas gaspol ft sekar tandjung solo lepas gibran lepas bayang bayang akbar tandjung,0,0
kompas staf hasto tiru benta sidik kpk diam,0,0
kompas pkb dki buka peluang duet anies kaesang pilkada,1,0
kompas pkb dki usung anies rasyid baswedan pilkada jakarta,0,0
kompas ramai politikus komisaris bumn jabat gaji,0,0
kompas pks buka pintu koalisi pdi pilkada jakarta,0,0
kompas bicara konflik perang oslo forum menlu retno kurang tambah,0,0
kompas orang orang jokowi prabowo jabat strategis bumn,0,0
kompas hasto kristiyanto harun mas gulir politik kait,0,1
kompas sidik sita ponsel hasto pdi ketua kpk upaya cari harun mas,0,0
kompas jokowi alas upacara agustus gelar jakarta ikn,0,0
kompas prabowo gibran temu mata gerindra rutin kemarin foto unggah,1,0
kompas upacara agustus jokowi prabowo ikn ma ruf amin gibran jakarta,0,1
kompas jokowi senyum larang kaesang maju pilkada jakarta,1,1
kompas momen perindo rekomendasi eri cahyadi maju pilkada surabaya,0,1
kompas staf geledah ponsel sita acara hasto aju praperadilan pn jaksel,0,1
kompas usung perindo eri cahyadi optimis menang pilkada surabaya,0,0
kompas pdi mas hasto korban bully harun mas tangkap kpk,0,0
kompas full eri cahyadi resmi dukung perindo pr tuntas,0,1
kompas full kuasa hukum hasto duga jahat hukum sidik kpk,0,0
kompas kuasa hukum syl singgung khofifah sidang,1,1
kompas pdi prediksi rela dukung anies kalah kaesang,0,1
kompas ramai media sosial istilah dinasti politik human rights asi value,0,1
kompas rp anggar jalan dinas pns seleweng,0,0
kompas temu bpk seleweng anggar jalan dinas pns rp kpu capai rp m,0,0
kompas gibran datang prabowo hambalang,1,0
kompas gibran buku gambar jhan ethes hasto gambar pahlawan,0,0
kompas keluarga jokowi jabat strategis pertamina,0,0
kompas ahy sebab hektare lahan ikn masalah,0,0
kompas demokrat sayang amien rais tuju presiden pilih mpr sesuai juang era,1,0
kompas tarik puan anies pdi tarik,0,0
kompas cerita ahy kejut jokowi menteri expert bidang tanah,1,1
kompas respons anies lirik pdi pkb pilkada jakarta,0,1
kompas gibran balas budi khofifah emil all out pilkada jatim,1,1
kompas alas buruh tolak tapera rumah pensiun,0,0
kompas buruh ancam demo atur tapera cabut,0,0
kompas partai buruh sentil dpr tapera cuci tangan bikin uu nya,1,0
kompas tolak tapera partai buruh perintah niat kasih rumah potong uang rakyat,1,0
kompas said iqbal tolak tapera uang polisi tni korupsi uang rakyat,0,0
kompas prabowo istana temu jokowi lapor kunjung negeri,0,1
kompas bamsoet lapor mkd klaim parpol tuju amandemen uud,0,0
kompas hasto pdi penuh panggil kpk harun mas,0,1
kompas full massa buruh tolak tapera peras rakyat sengsara,0,0
kompas kaca gibran mahfud md percaya jokowi larang kaesang maju pilkada,0,1
kompas buruh gelar demo tolak tapera pasti rumah,0,1
kompas momen wamenhan salah perintah jokowi gibran rapat komisi dpr,0,1
kompas dpr pasti prabowo hadir rapat komisi sidang,0,1
kompas jokowi nanti air ngantor ikn,0,0
kompas bamsoet pimpin parpol rasa milu brutal,0,0
kompas jokowi nilai gimik larang kaesang maju pilkada,0,0
kompas kunjung ikn tutup jelang hut ri,0,1
kompas jokowi seru rang judi online bentuk satgas presiden joko widodo jokowi tutup juta situs judi online bentuk serius perintah berantas rang giat ilegal kepala negara satu tugas satgas berantas judi online sebentar selesai bentuk eksistensi satgas harap cepat berantas giat ilegal judi online isu transnasional lintas negara lintas batas lintas otorisasi,0,0
kompas megawati buku pdi sita sidik kpk isi ketua pdi megawati soekarnoputri buku dpp pdi pegang sekretaris jenderal sekjen pdi hasto kristiyanto sita sidik komisi berantas korupsi kpk beber kuasa hukum hasto ronny talapessy kantor komisi nasional hak asasi manusia komnas ham jakarta rabu aju berat dewan awas dewas kpk tindak sita sidik buku milik partai,0,0
kompas manuver pkb pilkada jakarta dukung ahok dukung anies partai bangkit bangsa pkb tentu sikap dukung anies baswedan gadang calon gubernur jakarta pilkada umum dukung anies ketua dewan urus wilayah dpw pkb dki hasbiallah ilyas kantor kawasan pulo gadung jakarta timur rabu,0,0
kompas gaspol ft sekar tandjung solo lepas gibran lepas bayang bayang akbar tandjung sekar tandjung mungkir priviledge anak akbar tandjung politikus kawak negeri tekan privilege segalalanya terjun dunia politik sekar istimewa milik orang buka pintu pulang anak eks ketua partai golkar sekar pilih titi karir politik tepat solo kota pimpin presiden joko widodo karir dunia politik titik bawah akar kokoh pohon beringin lambang partai golkar naung,0,0
kompas staf hasto tiru benta sidik kpk diam asisten sekjen pdi hasto kristiyanto kusnadi aku bentak periksa jam sidik kpk senin bentak diam orang takut kusnadi kusnadi sebut bohong sidik kpk nama rossa purbo bekti pasal kusnadi paksa jalan periksa barang bawa sita,0,1
kompas pkb dki buka peluang duet anies kaesang pilkada dewan pimpin wilayah partai bangkit bangsa dpw pkb jakarta buka peluang duet anies baswedan kaesang pangarep bursa pilkada ketua dpw dki hasbiallah ilyas konferensi pers kantor dpw pkb jakarta timur rabu hasbiallah buka kaesang wakil anies jabat gubernur jakarta,1,0
kompas pkb dki usung anies rasyid baswedan pilkada jakarta dewan pimpin wilayah partai bangkit bangsa dpw pkb jakarta deklarasi dukung mantan gubernur dki anies baswedan calon gubernur tunggal ajang pilkada rabu ketua dpw dki hasbiallah ilyas partai tutup daftar calon gubernur buka daftar calon wakil pkb putus dukung dasar hasil survey anies nilai sosok paham jakarta,0,1
kompas ramai politikus komisaris bumn jabat gaji politikus komisaris usaha badan usaha milik negara bumn komisaris kelompok orang pegang posisi usaha baru politikus partai gera indonesia raya gerindra fuad bawazier resmi tetap komisaris utama mind id induk bumn industri tambang mind id angkat mantan ketua partai solidaritas indonesia psi grace natalie komisaris politikus gerindra simon aloysius mantiri komisaris utama komisaris independen pt pertamina lantas jabat komisaris besar gaji,0,1
kompas pks buka pintu koalisi pdi pilkada jakarta ,0,0
kompas bicara konflik perang oslo forum menlu retno kurang tambah menteri negeri ri retno marsudi ungkap peran indonesia mediator damai oslo forum norwegia selasa sesi buka retno diskus panggung perdana menteri norwegia presiden somalia state mister qatar retno sebut undang partisipasi sesi buka aku peran indonesia aktif maju damai internasional,0,0
kompas orang orang jokowi prabowo jabat strategis bumn ,0,1
kompas hasto kristiyanto harun mas gulir politik kait ,0,0
kompas sidik sita ponsel hasto pdi ketua kpk upaya cari harun mas plt ketua kpk nawawi pomolango sidik kpk sita ponsel sekjen pdi hasto kristiyanto cari ada harun mas pimpin kpk instruksi sidik cari ada buron sangka suap nawawi aku terang deputi tindak kait sita ponsel hasto sebut ponselnya sita tangan ajudan sidik periksa saksi harun mas kuasa hukum hasto lapor sidik dewas kpk,0,1
kompas jokowi alas upacara agustus gelar jakarta ikn presiden joko widodo upacara ingat merdeka republik indonesia agustus gelar lokasi transisi pindah kota rencana upacara agustus gelar kota nusantara ikn istana presiden jakarta jokowi lantas upacara selenggara ikn presiden keluar putus presiden keppres pindah kota jakarta ikn,0,0
kompas prabowo gibran temu mata gerindra rutin kemarin foto unggah ketua hari gerindra sufmi dasco ahmad buka suara temu mata presiden pilih prabowo subianto wapres pilih gibran rakabuming raka dasco prabowo gibran rutin temu dokumentasi temu kemarin unggah admin media sosial prabowo,1,1
kompas upacara agustus jokowi prabowo ikn ma ruf amin gibran jakarta upacara ingat merdeka ri laksana agustus laksana beda kali upacara hut ri langsung kota nusantara ikn najam paser utara kalimantan timur upacara ikn upacara presiden joko widodo presiden kepala negara kerap kali upacara ikn laksana wakil presiden ma ruf amin pimpin upacara istana presiden jakarta damping wakil presiden pilih gibran rakabuming raka,0,1
kompas jokowi senyum larang kaesang maju pilkada jakarta presiden joko widodo jokowi senyum kabar larang putra bungsu kaesang pangarep maju pilkada jakarta jokowi respons kait benar isu benar isu langsung kaesang kabar jokowi larang kaesang maju pilkada jakarta kali cuat ketua pan zulkifli hasan nyata zulkifli ban kaesang sebut nyata cerita versi zulhas,1,0
kompas momen perindo rekomendasi eri cahyadi maju pilkada surabaya partai perindo rekomendasi eri cahyadi maju pilkada surabaya senin acara kantor dpp perindo menteng jakarta pusat eri dapat dukung partai perindo peluang wali kota surabaya optimis menang tuntas pr wilayah perintah stunting angka miskin,0,0
kompas staf geledah ponsel sita acara hasto aju praperadilan pn jaksel kuasa hukum sekjen pdi hasto kristiyanto ronny talapessy aju praperadilan adil negeri jakarta selatan duga jahat hukum sidik kpk periksa hasto ronny berat ulah sidik kpk nama rossa geledah sita ponsel milik hasto staf nama kusnadi,0,1
kompas usung perindo eri cahyadi optimis menang pilkada surabaya wali kota surabaya eri cahyadi optimis menang pilkada surabaya dukung perindo senin eri dapat dukung partai perindo peluang wali kota surabaya turut pr wilayah perintah selesai stunting angka miskin,0,0
kompas pdi mas hasto korban bully harun mas tangkap kpk kuasa hukum sekjen pdi hasto kristiyanto ronny talapessy klien bully politik kait harun mas mas hasto pdi juang korban bully bully an politik sosok harun mas hasil tangkap kpk sikap gar bawah rekan rekan media harap jelas adil benar ronny dpp pdi senin,0,0
kompas full eri cahyadi resmi dukung perindo pr tuntas partai perindo resmi dukung ery cahyadi maju wali kota surabaya bursa pilkada senin ery optimis menang dukung partai perindo selesai pr wilayah perintah stunting angka miskin,0,0
kompas full kuasa hukum hasto duga jahat hukum sidik kpk ketua tim kuasa hukum sekjen pdi hasto kristiyanto ronny talapessy indikasi jahat hukum sidik kpk ronny asisten hasto nama kusnadi geledah sita barang pribadi ronny kusnadi objek jadwal periksa hasto periksa kpk senin,0,0
kompas kuasa hukum syl singgung khofifah sidang kuasa hukum eks menteri tani syahrul yasin limpo syl singgung nama gubernur jawa timur periode khofifah indar parawansa sidang senin kuasa hukum syl saksi abdul malik faisal kait besar dana operasional terima syl jabat bupati gowa gubernur sulawesi selatan dengar malik kait besar dana kuasa hukum sebut nama khofifah menteri rp miliar gubernur rp miliar kira ya khofifah pilih gubernur menteri berita ya berita surat kabar kuasa hukum syl ruang sidang adil negeri jakarta pusat,1,1
kompas pdi prediksi rela dukung anies kalah kaesang amat politik universitas esa unggul jamiluddin ritonga prediksi pdi rela usung mantan gubernur dki jakarta anies baswedan menang pilkada jakarta pdi anies ideologi beda jamiluddin tari pdi anies lepas putus mahkamah agung ma buka pintu putra bungu presiden joko widodo kaesang pangarep maju pilkada jakarta,0,1
kompas ramai media sosial istilah dinasti politik human rights asi value ramai media sosial istilah dinasti politik human rights asi value arie putra budi adiputro bawa acara total politik tuai sorot publik potong video podcast judul pandji pragiwaksono kaget jurus andal prabowo viral media sosial tiktok kamis media sosial istilah dinasti politik human rights asi value ramai bincang warganet arie putra bawa acara podcast bintang panji pragiwaksono dinasti politik human rights hak asasi manusia arie asi value panji perihal opini dinasti politik lantas dinasti politik human rights asi value,0,0
kompas rp anggar jalan dinas pns seleweng badan periksa uang bpk temu simpang anggar jalan dinas menteri lembaga simpang anggar tahun capai rp miliar catat lapor hasil periksa lhp sistem kendali intern patuh tentu atur undang undang perintah pusat lansir lhp sistem kendali intern patuh tentu atur undang undang perintah pusat menteri lembaga catat simpang belanja jalan dinas simak berita lengkap video tulis alinda hardiantoro,0,1
