gabung,bias,pro_anti
suara politis golkar jaro ade sulhajji jompa peluang kuat dapat tiket pkb,1,0
suara waspada politik uang pilkada ppu serta diskualifikasi penjara,1,0
suara rekam jejak tsamara amany eks kader psi komisaris ptpn,0,0
suara mahasiswa klaim bukti kuat politik uang bawaslu makassar lapor bukti,0,1
suara hasto panggil kpk harun mas pukat ugm agenda politik,1,0
suara seno aji rudy mas ud kuat komunikasi politik jelang pilgub kaltim,1,0
suara prabowo dukung khofifah emil pilgub jatim warganet politik balas budi,1,1
suara duo host duga pro dinasti politik petinggi total politik,1,1
suara total politik sorot momen rocky gerung walk out viral,1,0
suara lanjut safari politik pimpin mpr ri kunjung kantor dpp pkb,1,1
suara emosi human rights tameng dinasti politik pandji pragiwaksono semprot host total politik,1,0
suara santai mahal gin harga sepatu host total politik gedung dpr,1,0
suara wacana pilpres kembali mpr gegara marak politik uang amat konyol,1,1
suara warganet sorot attitude host total politik desan anies jahat banget,0,0
suara pamer kopi tubruk anies ikut serempet asi value human right,0,0
suara kontroversi pandji pragiwaksono viral bicara dinasti politik,1,0
suara momen rocky gerung tinggal acara total politik duo host langsung laba,1,0
suara survei baru warga sumbar pilih gerindra alas,1,0
suara beda didik pandji pragiwaksono vs host total politik ribut dinasti politik,1,0
suara detik detik pandji pragiwaksono semprot host total politik emosi human rights tameng dinasti politik,1,0
suara riwayat karier budi adiputro diskakmat pandji pragiwaksono dinasti politik,1,1
suara beda didik arie putra budi adiputro host total politik goreng gegara pro dinasti politik,1,0
suara asi value ala netizen nyindir dinasti politik motor ruang tamu,1,0
suara skakmat arie putra budi adiputro dinasti politik pandji pragiwaksono beneran ngomong gin,1,0
suara jilat bibir host total politik duga body shaming anies baswedan,1,1
